fold,idempotence_error,path,q50,q90,query_auxiliary_reads,rank,sealed_reads,seed,sha256,stage,status,symmetry_error,training_participants,training_windows
0,1.634544560147333e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_0_seed_20260828.npz,0.24028687179088593,1.0089669227600098,0,8.0,0,20260828,d537d1089f9582d2dbfa804e5b51783087b3c9bd2d8d5c848b4f070f2cc30114,R1,PASS,0.0,"['sub-11', 'sub-12', 'sub-14', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
0,1.6283618151646806e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_0_seed_20260829.npz,0.2943271994590759,0.9272990226745605,0,8.0,0,20260829,8f00d49685705054d33cf82b2418814076308d1c4a160047f59f540adad39d45,R1,PASS,0.0,"['sub-11', 'sub-12', 'sub-14', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
0,1.6468068224639865e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_0_seed_20260830.npz,0.26364314556121826,0.9912152290344238,0,8.0,0,20260830,7f50d8e2e6e31af75e55ac093076157492ef6020cbbbb18482b1f39d650b3fcf,R1,PASS,0.0,"['sub-11', 'sub-12', 'sub-14', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
1,1.8279148434885428e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_1_seed_20260828.npz,0.2569817900657654,1.138176441192627,0,8.0,0,20260828,9c750f873bbf655ce83eb882f3a5e99d169ddead2173c8902a2a54f9fad14fdc,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
1,1.7194828387800953e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_1_seed_20260829.npz,0.2943388521671295,1.1970161199569702,0,8.0,0,20260829,8d94104f49e2a2204a054a2a83fb3128f903165280fdb44d2aba5300b48b3275,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
1,1.964535158549552e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_1_seed_20260830.npz,0.28155744075775146,1.2203720808029175,0,8.0,0,20260830,6dc68d13f3c7652d8260a07204f8e5138976b484bb82c5ccf9dac273fd487794,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-15', 'sub-17', 'sub-18', 'sub-19', 'sub-21', 'sub-23']",256
2,2.8462281989050098e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_2_seed_20260828.npz,0.32088083028793335,1.7664376497268677,0,8.0,0,20260828,6f9aae1fc4db34622cadcc10c878ccb2d3d45882baf97b5238e70132682a1e62,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-06', 'sub-07', 'sub-09', 'sub-19', 'sub-21', 'sub-23']",256
2,1.658671749282803e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_2_seed_20260829.npz,0.24279795587062836,1.4247150421142578,0,8.0,0,20260829,c595164599fcfc12f699e20bdde4486380593acaf7c7dc4b28be227bc6d66d76,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-06', 'sub-07', 'sub-09', 'sub-19', 'sub-21', 'sub-23']",256
2,1.487172767156153e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_2_seed_20260830.npz,0.2561718821525574,1.3177101612091064,0,8.0,0,20260830,3fb95c6f566d4940d1c180f6060d966ea312ad87eabe4fbcea7c58ad482dda87,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-06', 'sub-07', 'sub-09', 'sub-19', 'sub-21', 'sub-23']",256
3,1.1836420981126139e-06,/projects/EEG-foundation-model/derived/denoiseNet/calib_energy_v27/calibration/fold_3_seed_20260828.npz,0.28327539563179016,1.086451768875122,0,8.0,0,20260828,5042e2e9bbdda39dedef95c9ec8dfc0f4303bed8465edb3760697b15438851ea,R1,PASS,0.0,"['sub-02', 'sub-03', 'sub-05', 'sub-06', 'sub-07', 'sub-09', 'sub-11', 'sub-12', 'sub-14']",256
