protocol,method,units,subjects,rrmse_mean,rrmse_median,correlation_mean,delta_snr_mean
same_session,BOUNDED-CLIP-ORACLE,27,9,0.11812741656063332,0.036930471658706665,0.9767985192499283,20.974719127019245
same_session,BOUNDED-TANH-ORACLE,27,9,0.127421831815607,0.044368401169776917,0.9762480558192957,17.572401276341193
same_session,CCA-RANK1,27,9,0.10855665154479167,0.0981438010931015,0.9927316232341082,13.358764666098136
same_session,EOG-REGRESSION,27,9,2.786991615266743e-08,2.7120682588588352e-08,0.9999999999999998,123.62108442518446
same_session,FULL-ORACLE,27,9,2.786991615266743e-08,2.7120682588588352e-08,0.9999999999999998,123.62108442518446
same_session,LINEAR-POP,27,9,0.12579540439226009,0.10558588057756424,0.9900892426185932,12.073153946134779
same_session,LINEAR-WRONG,27,9,0.16430665235276576,0.13115784525871277,0.9814209813829563,10.35010518795914
same_session,QUERY-TRANSFER-ORACLE,27,9,2.786991615266743e-08,2.7120682588588352e-08,0.9999999999999998,123.62108442518446
same_session,RANK-1-PROJECTION-ORACLE,27,9,0.11122044575987039,0.10194700956344604,0.9921572921228583,13.30684612415455
same_session,RANK-2-PROJECTION-ORACLE,27,9,0.03962633820871512,0.03373158723115921,0.9985568521366345,25.002285109625923
same_session,SUPPORT-LINEAR-MATCH,27,9,0.07107644869635503,0.03407992795109749,0.9942086470858648,20.552344339865225
cross_session,BOUNDED-CLIP-ORACLE,18,9,0.11119070638799006,0.04089915379881859,0.9810872747427406,18.679561853408813
cross_session,BOUNDED-TANH-ORACLE,18,9,0.12064924655068252,0.0500144325196743,0.9803619812963257,16.245337936613296
cross_session,CCA-RANK1,18,9,0.12199021524025334,0.10769695788621902,0.9910556228702565,11.80179434352451
cross_session,EOG-REGRESSION,18,9,2.7424996298621963e-08,2.7077907915895594e-08,1.0,122.99790276421442
cross_session,FULL-ORACLE,18,9,2.7424996298621963e-08,2.7077907915895594e-08,1.0,122.99790276421442
cross_session,LINEAR-POP,18,9,0.1841611030201117,0.14114739745855331,0.9789561006472458,8.49549001455307
cross_session,LINEAR-WRONG,18,9,0.22273571747872564,0.1800469532608986,0.9685081776539727,7.398034844133589
cross_session,QUERY-TRANSFER-ORACLE,18,9,2.7424996298621963e-08,2.7077907915895594e-08,1.0,122.99790276421442
cross_session,RANK-1-PROJECTION-ORACLE,18,9,0.12582573729256788,0.10714361444115639,0.9901375685186371,11.715677632225884
cross_session,RANK-2-PROJECTION-ORACLE,18,9,0.04357421967304415,0.03382926993072033,0.998493707058691,22.077593114640976
cross_session,SUPPORT-LINEAR-MATCH,18,9,0.16918058279487821,0.1377435252070427,0.9809086710806666,10.155688421593773
