participant,identity_margin,auroc,rank1,tar_at_far5,positive
1,0.4170958250761032,0.9456249999999999,0.95,0.7,1
2,0.32814575731754303,0.9168750000000001,0.9,0.75,1
3,0.11437264829874039,0.6828254847645429,0.6052631578947368,0.3684210526315789,1
4,0.5171830356121063,0.9850000000000001,0.975,0.825,1
5,0.2060987800359726,0.7693905817174516,0.763157894736842,0.47368421052631576,1
6,-0.0033654922153800726,0.47875,0.0,0.07500000000000001,0
7,0.606046050786972,0.9923822714681441,1.0,0.8947368421052632,1
8,0.13040783256292343,0.7091412742382271,0.7105263157894737,0.5789473684210527,1
9,0.28861992061138153,0.8469529085872576,0.7894736842105263,0.6052631578947368,1
10,0.5869048833847046,0.9993074792243768,1.0,1.0,1
11,0.41474078595638275,0.9965373961218837,1.0,0.9473684210526316,1
12,0.24667110294103622,0.8407202216066483,0.7105263157894737,0.42105263157894735,1
13,0.22408198937773705,0.8206371191135734,0.6842105263157895,0.5263157894736842,1
14,0.14171452075242996,0.6655124653739612,0.3157894736842105,0.47368421052631576,1
15,0.4151903837919235,0.9473684210526316,0.9210526315789473,0.763157894736842,1
