participant,identity_margin,auroc,rank1,tar_at_far5,positive
1,0.4575592130422592,0.9681249999999999,0.975,0.7,1
2,0.4849885255098343,1.0,1.0,0.575,1
3,0.2607554942369461,0.7700831024930748,0.6052631578947368,0.39473684210526316,1
4,0.40179817378520966,0.996875,1.0,1.0,1
5,0.21567166596651077,0.7957063711911357,0.631578947368421,0.39473684210526316,1
6,0.007874689064919949,0.518125,0.275,0.575,1
7,0.22034410759806633,0.7596952908587257,0.6578947368421053,0.15789473684210525,1
8,0.2973630242049694,0.8220221606648199,0.7105263157894737,0.5789473684210527,1
9,0.22660396248102188,0.7832409972299169,0.736842105263158,0.8157894736842105,1
10,0.5116382241249084,0.9979224376731302,0.9736842105263157,0.8421052631578947,1
11,0.4995168596506119,0.9958448753462603,1.0,1.0,1
12,0.38725170493125916,0.9487534626038782,0.8421052631578947,0.39473684210526316,1
13,0.6519667357206345,0.989612188365651,0.9736842105263157,0.8947368421052632,1
14,-0.04147100355476141,0.42867036011080334,0.23684210526315788,0.13157894736842105,0
15,0.4357370436191559,0.9245152354570637,0.868421052631579,0.9473684210526316,1
