fold,verifier,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
2,A-R,physiological,3,1,0.002764395670965314,0.5457063711911357,0.15789473684210525,0.0
2,A-R,physiological,3,2,0.07720848172903061,0.6634349030470914,0.3684210526315789,0.21052631578947367
2,A-R,physiological,8,1,0.04741460084915161,0.57202216066482,0.3684210526315789,0.15789473684210525
2,A-R,physiological,8,2,0.3714980483055115,0.9335180055401662,1.0,0.8947368421052632
2,A-R,physiological,13,1,0.14222946763038635,0.8601108033240997,0.8947368421052632,0.10526315789473684
2,A-R,physiological,13,2,0.17923198640346527,0.8905817174515235,0.7894736842105263,0.0
2,A-R,artifact_acquisition_only,3,1,0.0002882919798139483,0.9889196675900278,1.0,0.9473684210526315
2,A-R,artifact_acquisition_only,3,2,0.00030692940345034003,0.9889196675900277,1.0,1.0
2,A-R,artifact_acquisition_only,8,1,0.0002124937018379569,0.7506925207756232,0.7894736842105263,0.3157894736842105
2,A-R,artifact_acquisition_only,8,2,0.00020038767252117395,0.6814404432132964,0.8947368421052632,0.21052631578947367
2,A-R,artifact_acquisition_only,13,1,0.00017745871446095407,0.9542936288088643,0.9473684210526315,0.7368421052631579
2,A-R,artifact_acquisition_only,13,2,0.00013673932699020952,0.9293628808864266,0.7368421052631579,0.631578947368421
2,A-R,rereference,3,1,0.01923147402703762,0.574792243767313,0.10526315789473684,0.0
2,A-R,rereference,3,2,0.07303192466497421,0.6357340720221607,0.3684210526315789,0.05263157894736842
2,A-R,rereference,8,1,0.023085864260792732,0.5152354570637119,0.47368421052631576,0.3684210526315789
2,A-R,rereference,8,2,0.3275589048862457,0.9390581717451524,0.9473684210526315,0.6842105263157895
2,A-R,rereference,13,1,0.11627406626939774,0.8254847645429363,0.8947368421052632,0.5789473684210527
2,A-R,rereference,13,2,0.14944316446781158,0.8282548476454293,0.7894736842105263,0.15789473684210525
2,A-R,dropout10,3,1,-0.02045491337776184,0.45290858725761773,0.15789473684210525,0.0
2,A-R,dropout10,3,2,0.05824141576886177,0.6454293628808864,0.3684210526315789,0.05263157894736842
2,A-R,dropout10,8,1,0.03792240470647812,0.5941828254847644,0.47368421052631576,0.2631578947368421
2,A-R,dropout10,8,2,0.33848175406455994,0.9182825484764543,1.0,0.7368421052631579
2,A-R,dropout10,13,1,0.15999552607536316,0.9182825484764543,0.9473684210526315,0.7894736842105263
2,A-R,dropout10,13,2,0.22522874176502228,0.9612188365650969,0.9473684210526315,0.7368421052631579
2,A-R,dropout20,3,1,-0.03757507726550102,0.37811634349030465,0.05263157894736842,0.0
2,A-R,dropout20,3,2,0.038289040327072144,0.5997229916897507,0.3684210526315789,0.05263157894736842
2,A-R,dropout20,8,1,0.05953993275761604,0.6274238227146814,0.47368421052631576,0.3684210526315789
2,A-R,dropout20,8,2,0.2990579903125763,0.871191135734072,0.8421052631578947,0.6842105263157895
2,A-R,dropout20,13,1,0.15810206532478333,0.92797783933518,0.9473684210526315,0.8421052631578947
2,A-R,dropout20,13,2,0.2593974173069,0.9792243767313019,0.9473684210526315,0.8947368421052632
2,A-R,gain_normalized,3,1,0.031383439898490906,0.6454293628808865,0.5789473684210527,0.47368421052631576
2,A-R,gain_normalized,3,2,0.007027475629001856,0.4972299168975069,0.3157894736842105,0.0
2,A-R,gain_normalized,8,1,0.012722737155854702,0.5083102493074791,0.47368421052631576,0.05263157894736842
2,A-R,gain_normalized,8,2,0.04918103292584419,0.7520775623268697,0.7894736842105263,0.42105263157894735
2,A-R,gain_normalized,13,1,-0.027547268196940422,0.3559556786703601,0.0,0.0
2,A-R,gain_normalized,13,2,0.024947883561253548,0.6786703601108033,0.631578947368421,0.3157894736842105
2,A-R,statistics_only,3,1,0.19720634818077087,0.871191135734072,1.0,0.5789473684210527
2,A-R,statistics_only,3,2,0.19816052913665771,0.8614958448753463,0.8947368421052632,0.631578947368421
2,A-R,statistics_only,8,1,0.07811786979436874,0.7008310249307479,0.2631578947368421,0.15789473684210525
2,A-R,statistics_only,8,2,0.06467810273170471,0.6911357340720221,0.10526315789473684,0.10526315789473684
2,A-R,statistics_only,13,1,0.1785626858472824,0.9861495844875346,0.9473684210526315,0.9473684210526315
2,A-R,statistics_only,13,2,0.15777631103992462,0.8933518005540165,0.7894736842105263,0.6842105263157895
2,A-R,wrong_condition_same_subject,3,1,0.013732568360865116,0.49584487534626037,0.10526315789473684,0.0
