verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
A-R,artifact_acquisition_only,1,0.706875,0.0002396374984527938,0.55,0.175
A-R,artifact_acquisition_only,2,0.891875,0.001611740852240473,1.0,0.675
A-R,artifact_acquisition_only,3,0.9889196675900278,0.00029761069163214415,1.0,0.9736842105263157
A-R,artifact_acquisition_only,4,0.9525,5.05283478560159e-05,0.975,0.9
A-R,artifact_acquisition_only,5,0.3060941828254848,-4.50171919510467e-05,0.0,0.0
A-R,artifact_acquisition_only,6,0.7949999999999999,0.00022920370975043625,0.825,0.42500000000000004
A-R,artifact_acquisition_only,7,0.9764542936288088,0.0007642789860256016,1.0,0.8421052631578947
A-R,artifact_acquisition_only,8,0.7160664819944598,0.00020644068717956543,0.8421052631578947,0.2631578947368421
A-R,artifact_acquisition_only,9,0.5595567867036011,9.105393928621197e-06,0.3684210526315789,0.15789473684210525
A-R,artifact_acquisition_only,10,0.9965373961218836,8.257752779172733e-05,0.9736842105263157,0.9736842105263157
A-R,artifact_acquisition_only,11,0.9958448753462604,0.0005700431356672198,1.0,0.9736842105263157
A-R,artifact_acquisition_only,12,0.698753462603878,0.00037515006260946393,0.3421052631578947,0.02631578947368421
A-R,artifact_acquisition_only,13,0.9418282548476454,0.0001570990207255818,0.8421052631578947,0.6842105263157894
A-R,artifact_acquisition_only,14,0.693213296398892,4.6165365347405896e-05,0.8157894736842105,0.23684210526315788
A-R,artifact_acquisition_only,15,0.7126038781163435,0.00020148252951912582,0.9736842105263157,0.18421052631578946
A-R,dropout10,1,0.721875,0.08164142072200775,0.675,0.25
A-R,dropout10,2,0.84,0.12145280838012695,0.725,0.5
A-R,dropout10,3,0.5491689750692521,0.018893251195549965,0.2631578947368421,0.02631578947368421
A-R,dropout10,4,0.79125,0.12970759719610214,0.6499999999999999,0.4
A-R,dropout10,5,0.6627423822714681,0.07490628957748413,0.42105263157894735,0.21052631578947367
A-R,dropout10,6,0.48562500000000003,-0.004641497507691383,0.3,0.025
A-R,dropout10,7,0.7160664819944598,0.07519739679992199,0.5789473684210527,0.18421052631578946
A-R,dropout10,8,0.7562326869806093,0.18820207938551903,0.7368421052631579,0.5
A-R,dropout10,9,0.6765927977839334,0.0691542737185955,0.5526315789473684,0.18421052631578946
A-R,dropout10,10,0.9695290858725762,0.3752293586730957,0.9736842105263157,0.894736842105263
A-R,dropout10,11,0.8912742382271468,0.1606360375881195,0.7894736842105263,0.6842105263157894
A-R,dropout10,12,0.7347645429362881,0.08579919300973415,0.5526315789473684,0.23684210526315788
A-R,dropout10,13,0.9397506925207756,0.19261213392019272,0.9473684210526315,0.763157894736842
A-R,dropout10,14,0.618421052631579,0.04419113136827946,0.4473684210526315,0.10526315789473684
A-R,dropout10,15,0.7797783933518005,0.12543871626257896,0.5789473684210527,0.10526315789473684
A-R,dropout20,1,0.649375,0.053644344210624695,0.47500000000000003,0.075
A-R,dropout20,2,0.754375,0.08644748665392399,0.625,0.2
A-R,dropout20,3,0.4889196675900277,0.0003569815307855606,0.21052631578947367,0.02631578947368421
A-R,dropout20,4,0.8237500000000001,0.15619534254074097,0.775,0.55
