EEG_EOG_coherence_reduction,blink_saccade_locked,frontal_residual_topography,heldout_EOG_prediction_remaining_ratio,participant,session,task
0.0,NOT_SUPPORTED,112.92110350316109,1.0,sub-02,ses-02,ERP
0.00036048469150971874,NOT_SUPPORTED,70.46596918235508,1.0062087486313072,sub-02,ses-02,SSVEP
0.0,NOT_SUPPORTED,89.62909537169112,1.0,sub-02,ses-03,ERP
0.0002465373475807331,NOT_SUPPORTED,274.9770758658367,1.0140072321213516,sub-02,ses-03,SSVEP
0.0,NOT_SUPPORTED,82.85546231497368,1.0,sub-02,ses-04,ERP
-0.0020865846096817103,NOT_SUPPORTED,59.28412375932758,1.1210850517797117,sub-02,ses-04,SSVEP
0.0,NOT_SUPPORTED,68.1401680666122,1.0,sub-03,ses-02,ERP
0.0,NOT_SUPPORTED,60.14021020244524,1.0,sub-03,ses-02,SSVEP
0.0,NOT_SUPPORTED,77.9442276309018,1.0,sub-03,ses-03,ERP
0.0,NOT_SUPPORTED,55.59960704346948,1.0,sub-03,ses-03,SSVEP
0.0,NOT_SUPPORTED,72.14142759268847,1.0,sub-03,ses-04,ERP
0.0,NOT_SUPPORTED,63.68948426021961,1.0,sub-03,ses-04,SSVEP
0.0,NOT_SUPPORTED,74.84230062941666,1.0,sub-05,ses-02,ERP
0.0,NOT_SUPPORTED,60.89404573760237,1.0,sub-05,ses-02,SSVEP
0.0,NOT_SUPPORTED,100.56495309916946,1.0,sub-05,ses-03,ERP
0.0,NOT_SUPPORTED,117.21768841172884,1.0,sub-05,ses-03,SSVEP
0.0,NOT_SUPPORTED,113.27361054706037,1.0,sub-05,ses-04,ERP
0.0,NOT_SUPPORTED,101.64372307827814,1.0,sub-05,ses-04,SSVEP
0.0,NOT_SUPPORTED,78.41196309315707,1.0,sub-06,ses-02,ERP
0.0,NOT_SUPPORTED,104.44865768498647,1.0,sub-06,ses-02,SSVEP
0.0,NOT_SUPPORTED,87.06682888563445,1.0,sub-06,ses-03,ERP
0.0,NOT_SUPPORTED,104.3270301288027,1.0,sub-06,ses-03,SSVEP
0.0,NOT_SUPPORTED,87.112434472575,1.0,sub-06,ses-04,ERP
-0.0003327575668091165,NOT_SUPPORTED,91.38703021737514,1.000758927971906,sub-06,ses-04,SSVEP
0.0,NOT_SUPPORTED,95.73000025519643,1.0,sub-07,ses-02,ERP
0.0,NOT_SUPPORTED,66.95701831333504,1.0,sub-07,ses-02,SSVEP
0.0,NOT_SUPPORTED,80.8413602097895,1.0,sub-07,ses-03,ERP
0.0,NOT_SUPPORTED,83.65546951616885,1.0,sub-07,ses-03,SSVEP
