contains_query_EOG,contains_query_operator,contains_task_metadata,participant,path,qnatural_eog_shape,session,sha256,task
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-02_ERP.npz,"(4, 38845)",ses-02,b7e5f1cad8265e4098ba6a2d66b6805bc241944635648c1b18f46a5a7ec69457,ERP
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-02_SSVEP.npz,"(4, 23395)",ses-02,15cc34a7c99e129f470442ab0f205aebe14d8d214ec5b2374c4d7cb2f46e2d3f,SSVEP
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-03_ERP.npz,"(4, 38432)",ses-03,ce20a5118caf825d759cd0ffc3635b1d3dfe4daca842c313a2193deeff4d281a,ERP
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-03_SSVEP.npz,"(4, 23304)",ses-03,d13fbec5a7b5cfe69fda125a14cebc273722def73a57cf389e474ff252e51886,SSVEP
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-04_ERP.npz,"(4, 39057)",ses-04,92af8441e7f9492fc856cef0032e7b37846e4218107256ea37a8718d981fc4e7,ERP
1,1,1,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-02/ses-04_SSVEP.npz,"(4, 24500)",ses-04,f099a945bb9506371d18ba7f478ed2e42f663e068604a67ab7d640a61ca83766,SSVEP
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-02_ERP.npz,"(4, 38843)",ses-02,91b26a4f1c0e7c97ab2c0fb248ecb5dcdd2cb55bae3545d3d940ffb5f9a1a216,ERP
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-02_SSVEP.npz,"(4, 24091)",ses-02,555004a5d7d0783d56a6f497116daae3651ee19e277bf6ebcd510093447c6a0b,SSVEP
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-03_ERP.npz,"(4, 38337)",ses-03,81a3adcba91047cb3a9c20a9fec885c58513288df37c7de537a47b7dc44af28a,ERP
1,1,1,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/evaluator_bundles/sub-03/ses-03_SSVEP.npz,"(4, 24351)",ses-03,efdbd8fd702a8c4f91673919867bed229d94b18454e59814579a59fe8af3b749,SSVEP
