candidate_id,eta_d,eta_z,selection
z0.001_d0.0,0.0,0.001,outer nested MATCH only
z0.001_d0.1,0.1,0.001,outer nested MATCH only
z0.001_d1.0,1.0,0.001,outer nested MATCH only
z0.001_d10.0,10.0,0.001,outer nested MATCH only
z0.01_d0.0,0.0,0.01,outer nested MATCH only
z0.01_d0.1,0.1,0.01,outer nested MATCH only
z0.01_d1.0,1.0,0.01,outer nested MATCH only
z0.01_d10.0,10.0,0.01,outer nested MATCH only
z0.1_d0.0,0.0,0.1,outer nested MATCH only
z0.1_d0.1,0.1,0.1,outer nested MATCH only
z0.1_d1.0,1.0,0.1,outer nested MATCH only
z0.1_d10.0,10.0,0.1,outer nested MATCH only
z1.0_d0.0,0.0,1.0,outer nested MATCH only
z1.0_d0.1,0.1,1.0,outer nested MATCH only
z1.0_d1.0,1.0,1.0,outer nested MATCH only
z1.0_d10.0,10.0,1.0,outer nested MATCH only
z10.0_d0.0,0.0,10.0,outer nested MATCH only
z10.0_d0.1,0.1,10.0,outer nested MATCH only
z10.0_d1.0,1.0,10.0,outer nested MATCH only
z10.0_d10.0,10.0,10.0,outer nested MATCH only
