artifact_rrmse,covariance,eta_d,eta_z,finite,heldout,inner_participants,kkt,offspan,output_input_rms,outside,preservation,psd,safe,units
2.102500899269473,0.0895106324333681,0.0,0.001,1.0,sub-02,14,1.4041677873354361e-13,2.991749239518399e-16,0.957397624585344,0.0,0.9144076149651872,0.04021669422450422,1,84
2.1024883885419894,0.08950925936411613,0.1,0.001,1.0,sub-02,14,1.851791431731958e-13,2.9916571606194204e-16,0.9573975129210904,0.0,0.9144089646436335,0.04021424242948194,1,84
2.1023765022057495,0.08949698757163056,1.0,0.001,1.0,sub-02,14,1.725562690420753e-13,2.991378658488266e-16,0.9573965394344519,0.0,0.9144210143500434,0.04019291212415134,1,84
2.1013186804662363,0.08938164971131901,10.0,0.001,1.0,sub-02,14,1.972010517844088e-13,2.98728938376746e-16,0.9573893589152843,0.0,0.9145334093318577,0.0399803775485135,1,84
2.072671297538115,0.08743264017461115,0.0,0.01,1.0,sub-02,14,1.4170675215263188e-13,2.920329928388448e-16,0.9574235648726935,0.0,0.9168549573557879,0.03913561032872161,1,84
2.0725850323025647,0.08742474444027308,0.1,0.01,1.0,sub-02,14,1.7177576738670543e-13,2.921004451423095e-16,0.95742403424935,0.0,0.9168636848005056,0.039117499098714266,1,84
2.071837864061034,0.08735649988353356,1.0,0.01,1.0,sub-02,14,1.7788713623816188e-13,2.9151455472198845e-16,0.9574289611581891,0.0,0.9169386479197195,0.03894486417792234,1,84
2.06591181016198,0.08682347114118238,10.0,0.01,1.0,sub-02,14,1.8756160645780472e-13,2.894760929879543e-16,0.9575036974622493,0.0,0.9175158547583574,0.037700940639124034,1,84
1.9476758544034685,0.07954506756860608,0.0,0.1,1.0,sub-02,14,1.6147929554357514e-13,2.3606430586897826e-16,0.960199659925532,0.0,0.9274151887454742,0.03382552001211223,1,84
1.9473889926094603,0.07952437654702298,0.1,0.1,1.0,sub-02,14,1.875741625515356e-13,2.353958161105415e-16,0.9602086588854039,0.0,0.9274422806979169,0.03376095735311838,1,84
1.9449713946183926,0.0793448133147331,1.0,0.1,1.0,sub-02,14,1.9197342128661278e-13,2.3439637365673947e-16,0.9602880966254982,0.0,0.9276689102281411,0.033224183225184376,1,84
1.9273915305153921,0.07789206408726772,10.0,0.1,1.0,sub-02,14,4.085620730620576e-13,2.2866563039747025e-16,0.9609616915803417,0.0,0.9292714812379775,0.03003024224224902,1,84
1.6151179741439952,0.056307992289912644,0.0,1.0,1.0,sub-02,14,1.3897877557783865e-13,1.615949700839225e-16,0.9724090015755669,0.0,0.9542755227078968,0.023686934696005486,1,84
1.6144314929334196,0.056250068022829766,0.1,1.0,1.0,sub-02,14,1.934854393106261e-13,1.6191155347068266e-16,0.9724360401762969,0.0,0.9543309016916514,0.02362283147204768,1,84
1.6088567503133877,0.05576678434246993,1.0,1.0,1.0,sub-02,14,2.7770378589290584e-13,1.618379183975865e-16,0.9726645565460594,0.0,0.9547734189152637,0.0229825271815203,1,84
1.5752472863317426,0.052514308855684234,10.0,1.0,1.0,sub-02,14,1.153109354033534e-12,1.6063297542958603e-16,0.9742843915583501,0.0,0.9573883666246742,0.018389730693033356,1,84
1.14360409568516,0.017939380088854245,0.0,10.0,1.0,sub-02,14,1.3635653452920017e-13,1.4992165451157749e-16,0.9917892233497816,0.0,0.9878840063396779,0.00913784423147695,1,84
1.1431864642630227,0.017894466440088175,0.1,10.0,1.0,sub-02,14,2.1953867295516309e-13,1.4952738787551043e-16,0.9918103136782053,0.0,0.987916502468255,0.00904031281583379,1,84
1.1401141263978989,0.017542658926459703,1.0,10.0,1.0,sub-02,14,4.460347435313105e-13,1.4981839731930286e-16,0.9919748931825273,0.0,0.988155553174199,0.008168155730224983,1,84
1.125986048666037,0.01561871869838969,10.0,10.0,1.0,sub-02,14,2.9226991197598786e-12,1.500320977345082e-16,0.992855281426231,0.0,0.9893171345165341,0.005347188287944235,1,84
2.2562390903843443,0.11592297428269341,0.0,0.001,1.0,sub-03,14,1.733005273676792e-13,4.746681948656901e-16,0.9435847094751354,0.0,0.8913848275507412,0.05267972258441614,1,84
2.25622448199399,0.11592136516096142,0.1,0.001,1.0,sub-03,14,2.0344362136054625e-13,4.741163291994816e-16,0.943584700846577,0.0,0.8913865466333267,0.05267915730844185,1,84
2.256093795878556,0.1159069715815938,1.0,0.001,1.0,sub-03,14,2.1873886217538804e-13,4.741859497208283e-16,0.9435846584685095,0.0,0.8914019080823078,0.05267402742803872,1,84
2.254855316325527,0.1157706771481387,10.0,0.001,1.0,sub-03,14,2.158161215874765e-13,4.732259122729336e-16,0.9435871029331351,0.0,0.8915462317409625,0.05258060757763546,1,84
2.219878763752251,0.11302089599315414,0.0,0.01,1.0,sub-03,14,1.577151108124651e-13,4.556387898616239e-16,0.9439865158590257,0.0,0.8949661249136514,0.052211386367700605,1,84
2.2197756078276165,0.1130109577018297,0.1,0.01,1.0,sub-03,14,2.364106760883933e-13,4.555669474202117e-16,0.9439881593554043,0.0,0.8949777515526998,0.052191048541202587,1,84
2.2188819197706473,0.11292454561237879,1.0,0.01,1.0,sub-03,14,2.116032217172471e-13,4.543473816680735e-16,0.9440037136537168,0.0,0.8950779882719915,0.051978966076293605,1,84
2.2118003617356874,0.11222849305164392,10.0,0.01,1.0,sub-03,14,2.2174854545179792e-13,4.485135963834216e-16,0.944180972713444,0.0,0.8958574534367265,0.05005495176588661,1,84
2.066263782971,0.10091926597271199,0.0,0.1,1.0,sub-03,14,1.4845267872130664e-13,3.3571048660973793e-16,0.949420387837841,0.0,0.910323178256885,0.045431754512080855,1,84
2.0659207454889383,0.10089108959352885,0.1,0.1,1.0,sub-03,14,2.0857951609273972e-13,3.359363718663858e-16,0.9494345388884834,0.0,0.9103584530719544,0.04535250992720432,1,84
2.063034228521328,0.10064793676591882,1.0,0.1,1.0,sub-03,14,2.088276641556842e-13,3.3258224516062003e-16,0.9495573609575216,0.0,0.9106525081579837,0.04433590864132886,1,84
2.042150594561279,0.09871683179618655,10.0,0.1,1.0,sub-03,14,4.3241600776257523e-13,3.202414659254419e-16,0.950548982856406,0.0,0.9127053966922818,0.039666105317640865,1,84
1.669094122096718,0.06882957718235115,0.0,1.0,1.0,sub-03,14,1.5428927976505033e-13,1.8266369949705482e-16,0.9667479440022797,0.0,0.9456658788572818,0.0316451452884012,1,84
1.6682921851909143,0.06875477428192597,0.1,1.0,1.0,sub-03,14,2.1699573355114073e-13,1.823501125813503e-16,0.9667840079767497,0.0,0.9457346675248763,0.031512241368431206,1,84
1.6618297488178047,0.06813241824641182,1.0,1.0,1.0,sub-03,14,3.4169492632177676e-13,1.8124701685681499e-16,0.9670867830748826,0.0,0.9462808632565711,0.030117754523088583,1,84
1.6236500105949117,0.06401285930778819,10.0,1.0,1.0,sub-03,14,1.3500311979441904e-12,1.781906988368627e-16,0.969164161551552,0.0,0.949445266272333,0.023294287219180046,1,84
