budget_seconds,metric,mean,median,ci_low,ci_high,positive_count,denominator,bootstrap_replicates,resampling
30.0,oracle_relative_improvement,0.17585120045824934,0.13631849374730326,0.13321179448042833,0.22025910550125646,57,58,20000,study_stratified_outer_fold_cluster_then_participant
30.0,deployable_relative_improvement,0.06023498204618866,0.07991925547113377,-0.017023830433012435,0.1302584305730364,39,58,20000,study_stratified_outer_fold_cluster_then_participant
30.0,match_relative_improvement,-0.03736481401604425,-0.015758535774079485,-0.14844558781472678,0.06464402544070977,28,58,20000,study_stratified_outer_fold_cluster_then_participant
30.0,match_vs_wrong_relative_improvement,0.21608794088298397,0.25551605807635347,0.101399390093229,0.30635393324919485,52,58,20000,study_stratified_outer_fold_cluster_then_participant
60.0,oracle_relative_improvement,0.2200181404710052,0.18807900448876225,0.17964091992302694,0.26441584691155523,57,58,20000,study_stratified_outer_fold_cluster_then_participant
60.0,deployable_relative_improvement,0.11672090395181088,0.11496681997457353,0.07021543563627504,0.16001197249526486,47,58,20000,study_stratified_outer_fold_cluster_then_participant
60.0,match_relative_improvement,0.08257906191433852,0.10712977098024551,0.0005296836364484082,0.16297743047206273,39,58,20000,study_stratified_outer_fold_cluster_then_participant
60.0,match_vs_wrong_relative_improvement,0.3020515174148181,0.3140336941288183,0.220541317400002,0.3696762463627875,55,58,20000,study_stratified_outer_fold_cluster_then_participant
120.0,oracle_relative_improvement,0.2673702297242014,0.26229587636696683,0.22735979640602136,0.30860950896553524,57,58,20000,study_stratified_outer_fold_cluster_then_participant
120.0,deployable_relative_improvement,0.19020168527964862,0.21851138989119354,0.1211839709008259,0.24494735769278445,52,58,20000,study_stratified_outer_fold_cluster_then_participant
120.0,match_relative_improvement,0.16473280031558432,0.21407153350089111,0.07973930092133806,0.2374710401376403,48,58,20000,study_stratified_outer_fold_cluster_then_participant
120.0,match_vs_wrong_relative_improvement,0.3606248041662361,0.3594246756429458,0.29496758749982904,0.41516635519790246,57,58,20000,study_stratified_outer_fold_cluster_then_participant
