budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,6000,success,MATCH,0.32597904041632675,0.8,1.0,1.4199664504068061,0.859647100138433,0.4704805670325178,1.0388886284069156,0.8455970205335968,2,1.949176798536019
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,6000,success,POP,0.32597904041632675,0.8,1.0,2.406982124764729,0.8905968753162821,0.5462913460919833,0.7817229673328382,1.7825184819394617,2,1.949176798536019
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,6000,success,EB_ORACLE,0.32597904041632675,0.8,1.0,1.278784367695208,0.7406705399185873,0.44126157219890866,0.851166500827073,0.7524061454135921,2,1.949176798536019
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,True,6000,success,EB_DEPLOYABLE,0.32597904041632675,0.8,1.0,1.4199664504068061,0.859647100138433,0.4704805670325178,1.0388886284069154,0.8455970205335969,2,1.949176798536019
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,6000,success,MATCH,0.3579985781636304,0.8300000000000001,1.0,1.1270717457839474,0.7621627478997719,0.3435523815942278,0.8648849348353763,0.6970308707061819,2,1.7482723625091008
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,6000,success,POP,0.3579985781636304,0.8300000000000001,1.0,1.6052593577344743,0.943389707567316,0.6507948608383441,0.7770344525809972,0.8767610516380303,2,1.7482723625091008
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,6000,success,EB_ORACLE,0.3579985781636304,0.8300000000000001,1.0,1.0907756645798683,0.6926039142365552,0.3657087520087219,0.7637015405362915,0.6486967585175173,2,1.7482723625091008
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,True,6000,success,EB_DEPLOYABLE,0.3579985781636304,0.8300000000000001,1.0,1.1270717457839474,0.7621627478997719,0.3435523815942279,0.8648849348353763,0.6970308707061819,2,1.7482723625091008
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,6000,success,MATCH,0.4896665159723812,0.98,1.0,0.9895929474092371,0.6130621161133717,0.32763292215024575,0.6052824574543718,0.6014317795135541,2,2.708092148208742
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,6000,success,POP,0.4896665159723812,0.98,1.0,3.0486572761210455,0.9749576325948794,0.7027738561071307,0.7198451577642568,2.273898904237489,2,2.708092148208742
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,6000,success,EB_ORACLE,0.4896665159723812,0.98,1.0,0.9835974926820347,0.6059227464544467,0.32996617620311175,0.571808064771625,0.5964505100017604,2,2.708092148208742
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,True,6000,success,EB_DEPLOYABLE,0.4896665159723812,0.98,1.0,0.9895929474092371,0.6130621161133717,0.32763292215024575,0.6052824574543719,0.6014317795135541,2,2.708092148208742
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,6000,success,MATCH,0.5158879519329921,0.36,1.0,1.69694373960869,0.6325818501449086,0.3942584322209435,0.594402314971709,1.2432450758905755,1,4.740873972375059
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,6000,success,POP,0.5158879519329921,0.36,1.0,1.3547790012370775,0.7862275694204397,0.40530619716514465,0.7733833545315154,0.8721344686187813,1,4.740873972375059
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,6000,success,EB_ORACLE,0.5158879519329921,0.36,1.0,1.1241542051998386,0.5948367889206768,0.3283306779067151,0.5544683204859352,0.7403766952445299,1,4.740873972375059
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,True,6000,success,EB_DEPLOYABLE,0.5158879519329921,0.36,1.0,1.69694373960869,0.6325818501449086,0.3942584322209435,0.594402314971709,1.2432450758905755,1,4.740873972375059
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,6000,success,MATCH,0.27216607194565984,0.04,1.0,2.294070793334315,1.0673675342121487,0.6188720275133678,0.9322176114770594,1.5819770046732415,1,0.9674074453797493
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,6000,success,POP,0.27216607194565984,0.04,1.0,1.186912086273805,0.7106094185432963,0.38443605404787323,0.7060546980248268,0.7318705624234491,1,0.9674074453797493
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,6000,success,EB_ORACLE,0.27216607194565984,0.04,1.0,1.174412058786769,0.6838516584160443,0.3911103881075124,0.671862194206155,0.7161154512586411,1,0.9674074453797493
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,True,6000,success,EB_DEPLOYABLE,0.27216607194565984,0.04,1.0,2.294070793334315,1.0673675342121487,0.6188720275133678,0.9322176114770594,1.5819770046732415,1,0.9674074453797493
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,6000,success,MATCH,0.3087455808172146,0.55,0.5412124535107024,1.0927578638518036,0.796472615037274,0.23764011160812315,0.759020210864736,0.779215731157207,2,1.3078287379810964
