development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.1779340566957698,49,250,0.21078624129295348
0.1112645404303775,99,500,0.1463590756058693
0.0788863220197313,149,750,0.10563646703958511
0.06130063665263793,199,1000,0.07250183746218682
0.050267265233046865,249,1250,0.06808830350637436
0.042101361405323535,299,1500,0.06716406345367432
0.036662942894241386,349,1750,0.04411158934235573
0.03480426528874565,399,2000,0.039507034420967105
0.029809277230764136,449,2250,0.045269758254289624
0.026255236007273197,499,2500,0.035228819400072095
0.02463270296507022,549,2750,0.03168872855603695
0.021941620363470388,599,3000,0.03706550113856792
0.020090464119087246,649,3250,0.028872116282582284
0.02128690360661815,699,3500,0.024324132315814494
0.018907637061441645,749,3750,0.02649756073951721
0.01824985334978384,799,4000,0.022199499420821667
0.017417125458664754,849,4250,0.020467927679419518
0.015429784379461232,899,4500,0.02022186927497387
0.015119650017689256,949,4750,0.014842949621379376
0.014559000429204282,999,5000,0.01879365835338831
0.01656404633403701,1049,5250,0.018704799935221672
0.014348208274254027,1099,5500,0.021049905754625797
0.014200699077371289,1149,5750,0.01693521998822689
0.0126746552722419,1199,6000,0.016880239360034466
