effective_operator_source,latency_seconds,method_id,network_calls_total,operator_source,partition,peak_memory_mb,seed,source_record,status
population_projector,12.043802458996652,M1_observation_warm_start_sdedit,200,population_projector,development,1533.525390625,20260801,sim33,success
population_projector,11.601214844995411,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260802,sim33,success
population_projector,11.526144733012188,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260803,sim33,success
population_projector,11.514017148991115,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260804,sim33,success
population_projector,11.644016124017071,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260805,sim33,success
population_projector,11.66137157799676,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260801,sim33,success
population_projector,11.622800543002086,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260802,sim33,success
population_projector,11.6167936270067,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260803,sim33,success
population_projector,11.64295150199905,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260804,sim33,success
population_projector,11.609187141002622,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260805,sim33,success
population_projector,11.515552689001197,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260801,sim33,success
population_projector,11.500568966992432,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260802,sim33,success
population_projector,11.554502244020114,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260803,sim33,success
population_projector,11.629307216993766,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260804,sim33,success
population_projector,11.615197011007695,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260805,sim33,success
matching_p0,11.616183606995037,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260801,sim33,success
matching_p0,11.649223664979218,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260802,sim33,success
matching_p0,11.617617423005868,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260803,sim33,success
matching_p0,11.60258898997563,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260804,sim33,success
matching_p0,11.544476176990429,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260805,sim33,success
