artifact,available_native_arrays,condition_erp_observation_relative_preservation,correlation,delta_snr_db,deployable_reconstruction_status,eog_coherence_reduction,failure,frozen_split_status,identity_unit,implementation,limitation,method,missing_native_arrays,model_module_import,nonartifact_observation_preservation,observation_change_ratio,optimizer_updates,oracle_extra_information_status,prior_outcome_exposure,protocol,query_artifact_label_in_official_test,reference_free_covariance_distortion,reference_free_psd_distortion,registered_denominator,repository_commit,rrmse,status,subject_awareness_evidence,successful_stems
EOG,,,0.9530411233747036,14.503525387157094,,,,,source_epoch_not_participant,official_source_port,,EEGDfus,,,,,208000,,,official_native,,,,,,0.2965274399068196,completed_prior_full_population_benchmark,False,
EOG,,,0.9440864845762081,14.627584717490457,,,,,source_epoch_not_participant,official_source_port,,EEGDfus-matched-deterministic,,,,,208000,,,official_native,,,,,,0.3187038302519472,completed_prior_full_population_benchmark,False,
EMG,,,0.9065081309231857,11.116460106589578,,,,,source_epoch_not_participant,official_source_port,,EEGDfus,,,,,344000,,,official_native,,,,,,0.42054128922577516,completed_prior_full_population_benchmark,False,
EMG,,,0.9067478926045914,11.606499671936035,,,,,source_epoch_not_participant,official_source_port,,EEGDfus-matched-deterministic,,,,,344000,,,official_native,,,,,,0.40572379127708585,completed_prior_full_population_benchmark,False,
EOG,,,0.9597093875514244,15.482225157997824,,,,,source_epoch_not_participant,official_source_port,,EEGDfus,,,,,276000,,,strict_source_epoch,,,,,,0.2739663503701719,completed_prior_full_population_benchmark,False,
EOG,,,0.9640295166121711,15.158042474226518,,,,,source_epoch_not_participant,official_source_port,,EEGDfus-matched-deterministic,,,,,276000,,,strict_source_epoch,,,,,,0.2616168531805308,completed_prior_full_population_benchmark,False,
EMG,,,0.9132132557218949,10.980971336364746,,,,,source_epoch_not_participant,official_source_port,,EEGDfus,,,,,344000,,,strict_source_epoch,,,,,,0.39493811945052576,completed_prior_full_population_benchmark,False,
EMG,,,0.9212758148281363,11.392882520502264,,,,,source_epoch_not_participant,official_source_port,,EEGDfus-matched-deterministic,,,,,344000,,,strict_source_epoch,,,,,,0.3770447454835212,completed_prior_full_population_benchmark,False,
,,,,,,,ModuleNotFoundError: No module named 'tensorflow',blocked_no_official_training_or_split_entry,,official_pretrained_weights,,EEGOAR-Net,,,,,,,,,,,,,4e67cb9176dcfcba8aa4d8dfdcb4059994d75e8a,,blocked_official_runtime_dependency_or_weight_incompatibility,False,
,EEG_all_epochs.npy;EMG_all_epochs.npy;EOG_all_epochs.npy,,,,not_run_requires_label_free_frozen_protocol,,,,,official_source_audit,,D4PM,ECG_all_epochs.npy,passed,,,,not_mixed_with_deployable_results,,,True,,,,5be2b3c72973fea6c879e63cd83067ff66aace13,,blocked_exact_official_matrix_missing_ECG_array,False,
,,0.09688046251078888,,,,0.40091203983516555,,,,source_faithful_python_port_not_MATLAB_parity,,SGEYESUB-source-faithful-Python,,,0.803274797341226,0.7836630279124391,,,True,,,0.07253587900345229,0.19182022217889738,59,,,completed_prior_all_study_development_matrix,False,59
,,,,,,,,,,reconstructed_from_paper,released training entry contains placeholder loaders and author-local paths,Essentia,,,,,,,,,,,,,,,reconstructed_from_paper,False,
,,,,,,,,,,source_faithful_python_port,MATLAB numerical parity not established,SGEYESUB,,,,,,,,,,,,,,,source_faithful_python_port,False,
,,,,,,,,,,ported_legacy_population_baseline,single-channel EEGdenoiseNet target; no participant claim,DeepSeparator,,,,,,,,,,,,,,,ported_legacy_population_baseline,False,
,,,,,,,,,,official_source_available_target_port_not_run,ICA-labelled source-mixture target differs from the frozen paired target,ART,,,,,,,,,,,,,,,official_source_available_target_port_not_run,False,
,,,,,,,,,,official_source_available_inference_port_not_run,ICA brain/non-brain target and 30-channel contract differ from the frozen split,IC-U-Net,,,,,,,,,,,,,,,official_source_available_inference_port_not_run,False,
,,,,,,,,,,library_baseline_available,requires frozen ICA fit scope on each real-data protocol,ICA+ICLabel,,,,,,,,,,,,,,,library_baseline_available,False,
,,,,,,,,,,library_baseline_available,requires clean calibration semantics; no clean waveform truth on SGE,ASR,,,,,,,,,,,,,,,library_baseline_available,False,
,,,,,,,,,,library_baseline_available,support-only EOG regression comparator,MNE-EOGRegression,,,,,,,,,,,,,,,library_baseline_available,False,
