combined_score,diffusion_loss,loss,one_step_loss,phase,step
,,0.43827083706855774,,anchor,1
,,0.033736344426870346,,anchor,250
,,0.06728389114141464,,anchor,500
,,0.04594268649816513,,anchor,750
,,0.023809976875782013,,anchor,1000
,,0.02439079061150551,,anchor,1250
,,0.029320502653717995,,anchor,1500
,,0.01708691194653511,,anchor,1750
,,0.02466675452888012,,anchor,2000
,,0.028216905891895294,,anchor,2250
,,0.026091983541846275,,anchor,2500
,,0.012996455654501915,,anchor,2750
,,0.028721680864691734,,anchor,3000
,,0.014293843880295753,,anchor,3250
,,0.015119560062885284,,anchor,3500
,,0.02735242433845997,,anchor,3750
,,0.010024075396358967,,anchor,4000
,,0.015307500027120113,,anchor,4250
,,0.011711492203176022,,anchor,4500
,,0.013767178170382977,,anchor,4750
,,0.008170582354068756,,anchor,5000
,,0.007456937804818153,,anchor,5250
,,0.018956387415528297,,anchor,5500
,,0.01707255095243454,,anchor,5750
,,0.006852675694972277,,anchor,6000
,,0.006847127806395292,,anchor,6250
,,0.00815059058368206,,anchor,6500
,,0.008736792020499706,,anchor,6750
,,0.01308289635926485,,anchor,7000
,,0.02041623741388321,,anchor,7250
,,0.010677611455321312,,anchor,7500
,,0.005936010275036097,,anchor,7750
,,0.005437452346086502,,anchor,8000
,,0.037246305495500565,,one_step,1
,,0.27698639035224915,,diffusion,1
,,0.005184968002140522,,one_step,250
,,0.17869308590888977,,diffusion,250
0.2839891240000725,0.1940108984708786,,0.08997822552919388,validation,250
,,0.00514768622815609,,one_step,500
,,0.22379553318023682,,diffusion,500
0.2654813677072525,0.17644396424293518,,0.08903740346431732,validation,500
,,0.004788649268448353,,one_step,750
,,0.20786051452159882,,diffusion,750
0.2548028901219368,0.1659550666809082,,0.0888478234410286,validation,750
,,0.005859098397195339,,one_step,1000
,,0.19939707219600677,,diffusion,1000
0.24963586032390594,0.1603402942419052,,0.08929556608200073,validation,1000
,,0.011266806162893772,,one_step,1250
,,0.19621184468269348,,diffusion,1250
0.24597691744565964,0.15712057054042816,,0.08885634690523148,validation,1250
,,0.0047261398285627365,,one_step,1500
,,0.19140148162841797,,diffusion,1500
0.2441924437880516,0.15544182062149048,,0.08875062316656113,validation,1500
,,0.006731516681611538,,one_step,1750
,,0.1902429610490799,,diffusion,1750
0.24298977106809616,0.15398558974266052,,0.08900418132543564,validation,1750
,,0.00776475016027689,,one_step,2000
,,0.18746662139892578,,diffusion,2000
0.24074092507362366,0.1530226320028305,,0.08771829307079315,validation,2000
,,0.00669629592448473,,one_step,2250
,,0.18386486172676086,,diffusion,2250
0.23947110772132874,0.15045909583568573,,0.089012011885643,validation,2250
,,0.004132977686822414,,one_step,2500
,,0.1809588074684143,,diffusion,2500
0.23788906633853912,0.14973421394824982,,0.0881548523902893,validation,2500
,,0.0047024511732161045,,one_step,2750
,,0.17772196233272552,,diffusion,2750
0.23535799980163574,0.14761802554130554,,0.0877399742603302,validation,2750
,,0.004803935997188091,,one_step,3000
,,0.17524954676628113,,diffusion,3000
0.23272008448839188,0.14531561732292175,,0.08740446716547012,validation,3000
,,0.0046348245814442635,,one_step,3250
,,0.1719631552696228,,diffusion,3250
0.23159248381853104,0.14366629719734192,,0.08792618662118912,validation,3250
,,0.004611348733305931,,one_step,3500
,,0.16877123713493347,,diffusion,3500
0.2280839905142784,0.1409921497106552,,0.0870918408036232,validation,3500
,,0.004834116902202368,,one_step,3750
,,0.16603004932403564,,diffusion,3750
0.22693277895450592,0.13913632929325104,,0.08779644966125488,validation,3750
,,0.004396951291710138,,one_step,4000
,,0.1635131984949112,,diffusion,4000
0.22341160476207733,0.13708250224590302,,0.08632910251617432,validation,4000
