fold,inner_validation,participant,split
0,False,sub-02,validation
0,True,sub-03,training
0,False,sub-05,validation
0,False,sub-06,training
0,False,sub-07,training
0,False,sub-09,training
0,False,sub-11,training
0,False,sub-12,training
0,False,sub-14,training
0,False,sub-15,training
0,False,sub-17,validation
0,False,sub-18,validation
0,True,sub-19,training
0,False,sub-21,training
0,False,sub-23,training
0,False,sub-24,training
1,True,sub-02,training
1,False,sub-03,training
1,False,sub-05,training
1,False,sub-06,training
1,False,sub-07,validation
1,False,sub-09,training
1,False,sub-11,training
1,False,sub-12,validation
1,False,sub-14,validation
1,False,sub-15,training
1,False,sub-17,training
1,False,sub-18,training
1,True,sub-19,training
1,False,sub-21,validation
1,False,sub-23,training
1,False,sub-24,training
2,False,sub-02,training
2,True,sub-03,training
2,False,sub-05,training
2,False,sub-06,validation
2,False,sub-07,training
2,False,sub-09,training
2,False,sub-11,validation
2,False,sub-12,training
2,False,sub-14,training
2,False,sub-15,validation
2,False,sub-17,training
2,False,sub-18,training
2,True,sub-19,training
2,False,sub-21,training
2,False,sub-23,training
2,False,sub-24,validation
3,True,sub-02,training
3,False,sub-03,validation
3,False,sub-05,training
3,False,sub-06,training
3,False,sub-07,training
3,False,sub-09,validation
3,False,sub-11,training
3,False,sub-12,training
3,False,sub-14,training
3,False,sub-15,training
3,False,sub-17,training
3,True,sub-18,training
3,False,sub-19,validation
3,False,sub-21,training
3,False,sub-23,validation
3,False,sub-24,training
