fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,0,head_motion,WRONG,6,p06:04;p06:09;p06:00;p06:15;p06:07;p06:13;p06:05;p06:03,1
4,2,0,head_motion,WRONG,23,p23:06;p23:01;p23:14;p23:02;p23:04;p23:05;p23:07;p23:11,1
4,2,0,head_motion,WRONG,27,p27:01;p27:13;p27:04;p27:15;p27:02;p27:14;p27:08;p27:00,1
4,2,0,head_motion,POP,,p13:15;p21:01;p22:13;p21:14;p29:12;p08:15;p13:13;p29:01,1
4,2,0,head_motion,MATCH,2,p02:09;p02:07;p02:10;p02:15;p02:08;p02:14;p02:13;p02:02,1
4,2,0,chewing,WRONG,6,p06:00;p06:07;p06:15;p06:06;p06:13;p06:12;p06:05;p06:03,1
4,2,0,chewing,WRONG,23,p23:14;p23:04;p23:13;p23:06;p23:02;p23:11;p23:07;p23:05,1
4,2,0,chewing,WRONG,27,p27:08;p27:04;p27:07;p27:01;p27:14;p27:02;p27:00;p27:15,1
4,2,0,chewing,POP,,p08:05;p22:13;p21:14;p21:01;p08:15;p29:12;p13:13;p29:01,1
4,2,0,chewing,MATCH,2,p02:12;p02:10;p02:09;p02:14;p02:08;p02:15;p02:13;p02:02,1
4,2,0,tongue,WRONG,6,p06:10;p06:07;p06:14;p06:00;p06:04;p06:09;p06:15;p06:03,1
4,2,0,tongue,WRONG,23,p23:13;p23:12;p23:14;p23:02;p23:07;p23:05;p23:04;p23:11,1
4,2,0,tongue,WRONG,27,p27:06;p27:07;p27:04;p27:13;p27:00;p27:14;p27:15;p27:08,1
4,2,0,tongue,POP,,p01:01;p29:12;p29:11;p08:15;p18:05;p29:09;p13:13;p29:01,1
4,2,0,tongue,MATCH,2,p02:04;p02:09;p02:12;p02:15;p02:08;p02:14;p02:13;p02:02,1
4,2,0,swallowing,WRONG,6,p06:09;p06:00;p06:06;p06:12;p06:04;p06:13;p06:03;p06:05,1
4,2,0,swallowing,WRONG,23,p23:10;p23:08;p23:04;p23:05;p23:02;p23:11;p23:07;p23:12,1
4,2,0,swallowing,WRONG,27,p27:05;p27:04;p27:08;p27:01;p27:02;p27:03;p27:14;p27:00,1
4,2,0,swallowing,POP,,p26:15;p18:08;p29:12;p29:11;p29:02;p22:13;p13:13;p29:01,1
4,2,0,swallowing,MATCH,2,p02:11;p02:10;p02:04;p02:14;p02:08;p02:15;p02:13;p02:02,1
4,2,0,facial_emg,WRONG,6,p06:09;p06:00;p06:12;p06:06;p06:04;p06:13;p06:05;p06:03,1
4,2,0,facial_emg,WRONG,23,p23:10;p23:08;p23:04;p23:05;p23:11;p23:02;p23:07;p23:12,1
4,2,0,facial_emg,WRONG,27,p27:05;p27:04;p27:08;p27:02;p27:03;p27:01;p27:14;p27:00,1
4,2,0,facial_emg,POP,,p26:15;p18:08;p29:12;p29:11;p29:02;p22:13;p13:13;p29:01,1
4,2,0,facial_emg,MATCH,2,p02:11;p02:10;p02:04;p02:14;p02:08;p02:15;p02:13;p02:02,1
4,2,1,head_motion,WRONG,6,p06:05;p06:15;p06:04;p06:00;p06:09;p06:12;p06:11;p06:07,1
4,2,1,head_motion,WRONG,23,p23:13;p23:05;p23:01;p23:02;p23:15;p23:09;p23:04;p23:08,1
4,2,1,head_motion,WRONG,27,p27:14;p27:06;p27:07;p27:13;p27:00;p27:09;p27:12;p27:08,1
4,2,1,head_motion,POP,,p13:09;p21:14;p30:09;p30:13;p01:03;p08:15;p13:12;p30:06,1
4,2,1,head_motion,MATCH,2,p02:12;p02:01;p02:09;p02:13;p02:03;p02:07;p02:05;p02:06,1
4,2,1,chewing,WRONG,6,p06:03;p06:05;p06:15;p06:11;p06:09;p06:04;p06:00;p06:07,1
4,2,1,chewing,WRONG,23,p23:15;p23:07;p23:05;p23:12;p23:04;p23:09;p23:01;p23:08,1
4,2,1,chewing,WRONG,27,p27:01;p27:06;p27:14;p27:07;p27:00;p27:02;p27:09;p27:12,1
4,2,1,chewing,POP,,p13:03;p05:08;p18:10;p29:01;p14:09;p16:12;p13:12;p08:15,1
4,2,1,chewing,MATCH,2,p02:10;p02:06;p02:13;p02:01;p02:03;p02:15;p02:05;p02:07,1
4,2,1,tongue,WRONG,6,p06:04;p06:06;p06:15;p06:09;p06:00;p06:12;p06:07;p06:11,1
4,2,1,tongue,WRONG,23,p23:13;p23:15;p23:06;p23:04;p23:09;p23:05;p23:01;p23:08,1
4,2,1,tongue,WRONG,27,p27:02;p27:07;p27:00;p27:14;p27:13;p27:09;p27:08;p27:12,1
4,2,1,tongue,POP,,p08:09;p16:12;p30:08;p14:09;p22:03;p08:15;p30:06;p13:12,1
4,2,1,tongue,MATCH,2,p02:13;p02:01;p02:09;p02:15;p02:03;p02:07;p02:05;p02:06,1
4,2,1,swallowing,WRONG,6,p06:05;p06:03;p06:15;p06:09;p06:11;p06:00;p06:07;p06:04,1
4,2,1,swallowing,WRONG,23,p23:02;p23:15;p23:12;p23:03;p23:04;p23:01;p23:09;p23:08,1
4,2,1,swallowing,WRONG,27,p27:10;p27:06;p27:14;p27:08;p27:00;p27:09;p27:07;p27:12,1
4,2,1,swallowing,POP,,p30:06;p08:03;p01:03;p29:10;p14:09;p16:12;p08:15;p13:12,1
4,2,1,swallowing,MATCH,2,p02:13;p02:14;p02:08;p02:12;p02:03;p02:06;p02:05;p02:07,1
4,2,1,facial_emg,WRONG,6,p06:14;p06:03;p06:15;p06:11;p06:09;p06:00;p06:07;p06:04,1
4,2,1,facial_emg,WRONG,23,p23:03;p23:15;p23:02;p23:12;p23:04;p23:01;p23:09;p23:08,1
4,2,1,facial_emg,WRONG,27,p27:10;p27:06;p27:14;p27:00;p27:08;p27:07;p27:09;p27:12,1
4,2,1,facial_emg,POP,,p30:10;p08:03;p08:15;p29:10;p16:12;p14:09;p01:03;p13:12,1
4,2,1,facial_emg,MATCH,2,p02:08;p02:13;p02:14;p02:12;p02:03;p02:06;p02:07;p02:05,1
4,2,2,head_motion,WRONG,6,p06:07;p06:05;p06:03;p06:10;p06:15;p06:14;p06:01;p06:04,1
4,2,2,head_motion,WRONG,23,p23:01;p23:08;p23:02;p23:10;p23:12;p23:09;p23:15;p23:00,1
4,2,2,head_motion,WRONG,27,p27:13;p27:06;p27:14;p27:00;p27:02;p27:15;p27:05;p27:01,1
4,2,2,head_motion,POP,,p08:09;p13:04;p29:06;p14:07;p21:10;p22:08;p13:01;p29:05,1
4,2,2,head_motion,MATCH,2,p02:14;p02:15;p02:02;p02:08;p02:06;p02:07;p02:05;p02:09,1
4,2,2,chewing,WRONG,6,p06:03;p06:10;p06:12;p06:15;p06:05;p06:14;p06:04;p06:01,1
4,2,2,chewing,WRONG,23,p23:02;p23:10;p23:04;p23:08;p23:01;p23:09;p23:15;p23:12,1
4,2,2,chewing,WRONG,27,p27:15;p27:13;p27:00;p27:14;p27:06;p27:02;p27:01;p27:05,1
4,2,2,chewing,POP,,p08:09;p21:08;p14:07;p29:10;p13:04;p13:01;p29:05;p21:10,1
4,2,2,chewing,MATCH,2,p02:06;p02:03;p02:02;p02:05;p02:07;p02:15;p02:08;p02:09,1
4,2,2,tongue,WRONG,6,p06:09;p06:10;p06:02;p06:03;p06:15;p06:14;p06:01;p06:04,1
4,2,2,tongue,WRONG,23,p23:04;p23:02;p23:01;p23:09;p23:15;p23:08;p23:00;p23:10,1
4,2,2,tongue,WRONG,27,p27:08;p27:05;p27:02;p27:04;p27:00;p27:15;p27:14;p27:01,1
4,2,2,tongue,POP,,p29:06;p29:07;p13:04;p22:08;p30:06;p30:03;p21:10;p29:05,1
4,2,2,tongue,MATCH,2,p02:12;p02:02;p02:08;p02:14;p02:07;p02:06;p02:05;p02:09,1
4,2,2,swallowing,WRONG,6,p06:07;p06:03;p06:10;p06:15;p06:05;p06:14;p06:01;p06:04,1
4,2,2,swallowing,WRONG,23,p23:04;p23:08;p23:02;p23:01;p23:00;p23:12;p23:09;p23:15,1
4,2,2,swallowing,WRONG,27,p27:13;p27:08;p27:06;p27:15;p27:05;p27:02;p27:14;p27:01,1
4,2,2,swallowing,POP,,p22:08;p08:09;p14:07;p21:10;p13:01;p30:06;p29:05;p13:04,1
