method,participants,scientific_unit,rrmse_mean,rrmse_median,correlation_mean,correlation_median,delta_snr_mean,delta_snr_median,spectral_error_mean,spectral_error_median,topography_error_mean,topography_error_median,covariance_error_mean,covariance_error_median
DET-HYBRID-MATCH,20,participant,0.8435002883153775,0.8421869160902119,0.47565674225682625,0.4815290648813886,1.714124602992565,1.6895237923176214,0.45565345754713693,0.45004671731971146,0.10396130435161328,0.10611155447627729,0.3278875820814628,0.33217258072796263
DET-HYBRID-WRONG-0,20,participant,0.8441962228820161,0.8447154419734216,0.47406508974371464,0.4804299292183649,1.707065204204002,1.6766387284947928,0.453020823502186,0.44890278328860567,0.10383755905661055,0.10611126005856528,0.32836893821464663,0.3344061449827068
DET-HYBRID-WRONG-1,20,participant,0.843704871332333,0.8436757184901089,0.4750335052830983,0.4796773255075113,1.7120182106359227,1.677086803962256,0.4561822269525552,0.44968633802814617,0.10395512375334222,0.1056928805450702,0.32822931945151756,0.333199509970986
DET-HYBRID-WRONG-2,20,participant,0.8434862347914981,0.8441452382456291,0.47585882418867953,0.47985451030159754,1.714203980221967,1.675126346222843,0.45567824299354653,0.4505380608270773,0.10394415816226246,0.10586998672793722,0.328186068124111,0.333391714440875
DET-POP,20,participant,0.8424659263525465,0.8416207614880613,0.47791075402883737,0.48392723838984186,1.7254916810643937,1.7046791898612275,0.4575694156568219,0.4520154585984225,0.10391866244996265,0.1056928805450702,0.3280918046223571,0.33278386714369357
DIFF-K1-HYBRID-MATCH,20,participant,1.100474819569048,1.0781524071564332,0.35431649958620426,0.3493503407186388,-0.43285191499485426,-0.4559804157867634,0.4992232260240412,0.48065438730331755,0.10409793906631452,0.1010918987989943,0.3148479015338335,0.32860252779785715
DIFF-K1-HYBRID-WRONG-0,20,participant,1.1012109400770975,1.077641008354824,0.354465992753931,0.3468957475995052,-0.4379896759311567,-0.4513718297604655,0.49940212595626327,0.4808235731687293,0.10417030424186817,0.10099408470973786,0.3156885475277872,0.33016214690579404
DIFF-K1-HYBRID-WRONG-1,20,participant,1.1004894904682174,1.078005018978696,0.3545123131301594,0.34838893280532957,-0.4339349684681075,-0.45264095985450337,0.4991971643526701,0.4806594089747199,0.1042503133343198,0.10109257875269072,0.3151399286042862,0.32944605253160725
DIFF-K1-HYBRID-WRONG-2,20,participant,1.100378640014204,1.0782182152936985,0.3545890382087883,0.34759067815807765,-0.4318704136789166,-0.45591714680984424,0.4992170590947212,0.48078585602291346,0.10408688279682873,0.10112558303038693,0.31492471193258426,0.3294765343446511
DIFF-K1-POP,20,participant,1.0995715392665233,1.0770774222705284,0.3565613998278202,0.35091168432524533,-0.4238912495455156,-0.44531635165452577,0.4991532289989872,0.48073276479521554,0.10396834374886384,0.10107014002795849,0.31473209114494344,0.3298949411003528
DIFF-K8-HYBRID-MATCH,20,participant,0.8207589856641041,0.827184627165976,0.4922686579381185,0.49592023095565485,2.0596479857632137,1.9320904627596223,0.3746178270696051,0.36715895039517255,0.09662685357358576,0.098989728463348,0.31126678147396003,0.32178477732168254
DIFF-K8-HYBRID-WRONG-0,20,participant,0.821231490827671,0.8279616882750147,0.4921528624517727,0.49178549919808767,2.0553292058245507,1.905777010575096,0.37455493289669317,0.36711101886771974,0.09660403861642594,0.0988767231328206,0.3112476160006235,0.3225358634343639
DIFF-K8-HYBRID-WRONG-1,20,participant,0.8208266642761372,0.8276589019555896,0.49237099056509326,0.49438965411823466,2.0582621220323243,1.9261761182881163,0.37466341246565016,0.36716662283011137,0.09674455311769661,0.09879528353844459,0.3114972723010805,0.3233711498067481
DIFF-K8-HYBRID-WRONG-2,20,participant,0.8205376906613537,0.8281681067326263,0.4925361021427969,0.49345631439421034,2.0618530296915702,1.922233157906879,0.3746356853206747,0.36705648079514497,0.0966376542849826,0.09897161546939363,0.31123139457062676,0.3218069306724912
DIFF-K8-POP,20,participant,0.8192694096074306,0.8254568033484913,0.4951822904591376,0.498130706255682,2.0773736601909905,1.946993168386025,0.3747033192571022,0.36723020299825637,0.09639566038059424,0.09882800665916874,0.3102794097911549,0.3206826790007038
MASKED-ZERO,20,participant,1.0,1.0,0.0,0.0,0.0,0.0,0.5509008765603186,0.5444285364422414,0.14892887856916245,0.1519629588978003,0.42005527521835606,0.42389106190019615
RETRIEVAL-HYBRID-MATCH,20,participant,1.0750895848056266,1.063876074587121,0.10705912912667312,0.09610554027416696,-0.5593314033211569,-0.5054036845307615,0.45157751810432234,0.45118368549505244,0.12869342337980486,0.1284656336375823,0.4094386360148704,0.4089992714177927
RETRIEVAL-POP-LARGE,20,participant,1.0784107915513976,1.0587131441884186,0.18964689417337072,0.19504467104973677,-0.5116027819765147,-0.37312719167939035,0.4487289682843644,0.44002575697111235,0.12963588321422487,0.12808095347834753,0.417231348451449,0.40841642595965144
TEMPORAL-INTERPOLATION,20,participant,1.1179182762183726,1.1069102544704714,0.2420340955255771,0.2506401784345611,-0.7769729132393117,-0.7521148811103557,0.5964200027543803,0.5998820734152105,0.1329922275742706,0.1321263226430165,0.4109220633432261,0.4095684804673536
