participant,evaluable,policy_U_P,policy_U_W,mechanism_U_P,mechanism_U_W,E_D_K1,E_avg,U_P_DET,DeltaSA,diff_match_rrmse,diff_pop_rrmse,wrong_donors_scored
1,1,-0.00200158965795294,-0.00115520301402261,-0.00200158965795294,0.0015323105362887723,-0.09316250928990588,0.15058491452835243,-0.000734455277984658,-0.0012671343799682822,0.8688764656588619,0.866874876000909,3
2,1,-0.0012597595399080896,-0.0007875632562512891,-0.0012597595399080896,0.00683914715274303,-0.08331110073610748,0.1339073761578482,-0.0038033801547341373,0.0025436206148260476,0.9059233439021384,0.9046635843622303,3
5,1,0.00034537273428525417,0.00038523157959113874,0.00034537273428525417,0.000405161002244081,-0.46709333509555573,0.42833383280419823,0.003589886440244161,-0.003244513705958907,0.7870326533857993,0.7873780261200846,2
6,1,-0.003887548927365203,0.0007243116001454108,-0.003887548927365203,-0.029843291399176408,-0.3775692030477127,0.381349300094164,-0.0023708147381563682,-0.0015167341892088348,0.8279979841596464,0.8241104352322812,3
8,1,-0.0012848745063905875,3.573680347868091e-05,-0.0012848745063905875,0.0006960424584131486,-0.3777684540815356,0.39620568760186436,-0.00241284046031065,0.0011279659539200626,0.8019929828966553,0.8007081083902647,2
9,0,0.0,-1.1102230246251565e-16,,,,,,,,,0
10,0,0.0,0.0,,,,,,,,,0
11,0,0.0,0.0,,,,,,,,,0
13,1,-0.0019229834183080996,-0.0009594954656909627,-0.0019229834183080996,-0.0004777514893824497,-0.3512284935691139,0.37831882117694415,-0.0040697871268481345,0.002146803708540035,0.873345096237216,0.8714221128189079,2
14,1,-0.005037686238849148,-0.00437681402828316,-0.008060297982158682,-0.00488811137144185,-0.1289634210101397,0.17659417734949723,0.0015432074577290678,-0.00960350543988775,0.6842485610547371,0.6761882630725784,1
16,1,-0.0018354604515777861,-0.0006750404373059293,-0.0018354604515777861,-9.483043017022297e-05,-0.20618860444998854,0.23110272237944396,-0.0009221566448098795,-0.0009133038067679067,0.8388618547718696,0.8370263943202918,2
18,1,6.338143295125942e-05,0.00010560951405635954,6.338143295125942e-05,0.002856443772085271,-0.2852571526768455,0.2946071180620271,-0.0009765642209913494,0.0010399456539426088,0.855900951055957,0.8559643324889082,2
20,1,-0.0012741832620766225,-0.0006340426644005914,-0.0015290199144913919,0.0007754862371415205,-0.21065132469684966,0.23655261884439704,0.000597481989115578,-0.00212650190360697,0.8232139857725483,0.821684965858057,1
21,1,-0.0025307179365389176,-0.00037955328699135205,-0.0025307179365389176,-0.020408186163190845,-0.22825909580272552,0.25828553299090873,-0.0007505518662016541,-0.0017801660703372635,0.7684344390989327,0.7659037211623938,3
22,1,-0.000981934784748839,0.001554302856057621,-0.000981934784748839,-0.0015837937590315043,-0.09324875064922578,0.1504846804238954,-0.002029149545297093,0.001047214760548254,0.772052017145128,0.7710700823603791,3
23,1,-0.0026563346207600924,0.002135088849637534,-0.0026563346207600924,0.010085302575232213,-0.3060824891934858,0.3163422488629922,-0.0016302108618974076,-0.0010261237588626848,0.8317284002837487,0.8290720656629886,3
26,1,-0.0017727409464765032,0.00013011908582583054,-0.0017727409464765032,0.003935839150430165,-0.19367536519929252,0.23640571136067245,-0.0006097312459850679,-0.0011630097004914353,0.771677514904448,0.7699047739579715,2
27,1,-0.0007951410087168043,0.0005837324112497599,-0.0014312538156904253,0.0010507183402498343,-0.34494361403861284,0.3485323373913949,-0.004237779819757037,0.002806526004066612,0.8914973594410742,0.8900661056253838,3
29,1,-0.002914212933128768,-0.00011130080572618883,-0.005828425866257869,-0.0002226016114525997,-0.20134036270504052,0.2512497352089055,-0.004617021128087595,-0.0012114047381702742,0.6923010239881519,0.686472598121894,3
30,1,-4.5107067909611054e-05,0.00019455953913583013,-6.314989507327784e-05,0.00044014997972208203,-0.16002640982431893,0.20746308156578386,-0.001073880060669219,0.001010730165595941,0.8134010305023345,0.8133378806072612,2
