selector,estimand,date_stratum,effect,n,mean,median,positive
observable,policy,same-day,H_P_eq,6,0.05393207012674577,0.029553253789417352,4
observable,policy,same-day,H_W_eq,6,0.053863170981366844,0.025579243480629142,4
observable,policy,same-day,H_HYB,6,0.032556524159713295,0.02021211311176673,4
observable,policy,same-day,H_HYB_W,6,0.042762042869353804,0.03256910571882319,5
observable,policy,same-day,H_MATCH_LARGE,6,0.03175606406994755,0.0022076466507227896,3
observable,policy,same-day,H_HYB_LARGE,6,0.021388097736250847,0.0022898712503697204,4
observable,policy,multi-date,H_P_eq,14,0.01816798763000346,0.01656130982635535,9
observable,policy,multi-date,H_W_eq,14,0.01758678982590094,0.01625428137262564,9
observable,policy,multi-date,H_HYB,14,0.009603133971794759,0.006664573150742351,9
observable,policy,multi-date,H_HYB_W,14,0.017593101842259568,0.015484129962596918,9
observable,policy,multi-date,H_MATCH_LARGE,14,-0.010456150979516849,-0.001593078214805288,5
observable,policy,multi-date,H_HYB_LARGE,14,-0.006680232196218339,-0.0025363510234972524,5
observable,evaluable,same-day,H_P_eq,5,0.0639242358300727,0.03510247630829879,4
observable,evaluable,same-day,H_W_eq,5,0.0644064785855049,0.028562503428633985,4
observable,evaluable,same-day,H_HYB,5,0.03832733336507384,0.025237658356453217,4
observable,evaluable,same-day,H_HYB_W,5,0.05191197002626111,0.041581021118137794,5
observable,evaluable,same-day,H_MATCH_LARGE,5,0.029705236841641447,0.004415293301445579,3
observable,evaluable,same-day,H_HYB_LARGE,5,0.01917531190206704,0.002548309126435484,4
observable,evaluable,multi-date,H_P_eq,12,0.025845056309793144,0.022819962363988658,9
observable,evaluable,multi-date,H_W_eq,12,0.02515573351162538,0.02094372861549963,9
observable,evaluable,multi-date,H_HYB,12,0.014534775451033778,0.009466461262615161,9
observable,evaluable,multi-date,H_HYB_W,12,0.024787613336940004,0.018548539448254367,9
observable,evaluable,multi-date,H_MATCH_LARGE,12,-0.012249751512084746,-0.015209873397001545,5
observable,evaluable,multi-date,H_HYB_LARGE,12,-0.007721865136022344,-0.010561940890519119,5
oracle,policy,same-day,H_P_eq,6,0.034201230502684934,0.025882277707366654,4
oracle,policy,same-day,H_W_eq,6,0.05608513003368015,0.04298818797798305,4
oracle,policy,same-day,H_HYB,6,0.02445800685652452,0.017774955240334997,4
oracle,policy,same-day,H_HYB_W,6,0.029144013144810688,0.021567698350840693,4
oracle,policy,same-day,H_MATCH_LARGE,6,-0.06844754247955856,-0.08030450313546435,0
oracle,policy,same-day,H_HYB_LARGE,6,-0.04362357601208333,-0.048325466915789844,0
oracle,policy,multi-date,H_P_eq,14,0.00600932012675902,0.013447865255927267,8
oracle,policy,multi-date,H_W_eq,14,0.01972332221819575,0.02097795495751431,8
oracle,policy,multi-date,H_HYB,14,0.007125951753842461,0.009264264446347543,9
oracle,policy,multi-date,H_HYB_W,14,0.010189556432793118,0.012086218470395552,9
oracle,policy,multi-date,H_MATCH_LARGE,14,-0.08302613423205188,-0.08547367153711338,0
oracle,policy,multi-date,H_HYB_LARGE,14,-0.052623925842590326,-0.05487010706314253,0
oracle,evaluable,same-day,H_P_eq,5,0.04005897176100862,0.040315078274037276,4
oracle,evaluable,same-day,H_W_eq,5,0.06713312071701608,0.05338636868851924,4
oracle,evaluable,same-day,H_HYB,5,0.028385897672521077,0.026582284938771794,4
oracle,evaluable,same-day,H_HYB_W,5,0.03420574439485531,0.028981158303500083,4
oracle,evaluable,same-day,H_MATCH_LARGE,5,-0.10182299363571583,-0.1001231324881112,0
oracle,evaluable,same-day,H_HYB_LARGE,5,-0.06727916372933138,-0.05927877929090708,0
oracle,evaluable,multi-date,H_P_eq,12,0.009053751340884637,0.02353551458944366,8
oracle,evaluable,multi-date,H_W_eq,12,0.027206604129578472,0.03305898313037555,8
oracle,evaluable,multi-date,H_HYB,12,0.010687751482047071,0.011919261212394465,9
oracle,evaluable,multi-date,H_HYB_W,12,0.01471903618036297,0.017114440070276227,9
oracle,evaluable,multi-date,H_MATCH_LARGE,12,-0.1089659001935638,-0.10203985062236215,0
oracle,evaluable,multi-date,H_HYB_LARGE,12,-0.06860313634030572,-0.06570480869498736,0
