participant,family,H_P,H_W,match_rrmse,pop_rrmse,mean_wrong_rrmse
1,chewing,-0.09099906807144476,-0.08002378764824991,1.1290309814115365,1.0380319133400917,1.0490071937632865
1,facial_emg,-0.10989865412314748,-0.09297265787591869,1.1405796247224014,1.030680970599254,1.0476069668464827
1,head_motion,-0.07024447619915009,-0.051295773442084025,1.1120449155569077,1.0418004393577576,1.0607491421148236
1,swallowing,-0.10895417258143425,-0.09003344701104998,1.1326297223567963,1.023675549775362,1.0425962753457463
1,tongue,-0.12642360602815939,-0.09910895934144204,1.1483755049606164,1.021951898932457,1.0492665456191743
2,chewing,-0.040631234645843506,-0.02728896165942074,1.0554427623748779,1.0148115277290344,1.0281538007154571
2,facial_emg,-0.05938204526901236,-0.0089955031740796,1.0646739951201847,1.0052919498511723,1.055678491946105
2,head_motion,-0.05790171878678463,-0.035837252015595844,1.0572407799107688,0.9993390611239842,1.021403527895173
2,swallowing,-0.03860874005726411,-0.010939949004204808,1.0631316227572305,1.0245228826999664,1.0521916737530257
2,tongue,-0.057162489209856227,-0.0180058864774284,1.0468781198774064,0.9897156306675502,1.028872233399978
5,chewing,0.08379007875919342,0.09249265996309419,1.0582294940948487,1.142019572854042,1.1507221540579429
5,facial_emg,0.12732656896114358,0.15832702104861918,1.0311568677425385,1.158483436703682,1.1894838887911576
5,head_motion,0.09803351163864149,0.11759177675613985,1.0210036873817443,1.1190371990203858,1.1385954641378842
5,swallowing,0.1473221600055694,0.1418001897059955,1.0409084379673004,1.1882305979728698,1.1827086276732959
5,tongue,0.2265692725777626,0.209912699002486,1.0221307426691055,1.2487000152468681,1.2320434416715915
6,chewing,0.08186786621809006,0.028318329499317896,1.1119846537709237,1.1938525199890138,1.1403029832702416
6,facial_emg,0.07587044686079025,0.02922637978425402,1.1245783239603042,1.2004487708210945,1.1538047037445582
6,head_motion,0.024591736495494843,0.0542059454780357,1.0919791266322136,1.1165708631277085,1.1461850721102493
6,swallowing,0.04472781866788855,0.011636006259001297,1.146306037902832,1.1910338565707206,1.1579420441618333
6,tongue,0.0679910674691202,-0.008608481517204725,1.1731142342090606,1.2411053016781808,1.1645057526918559
8,chewing,-0.013801829381422603,0.014970317192124938,1.0952338320868356,1.081432002705413,1.1102041492789605
8,facial_emg,-0.03842553109317626,0.01935621652331343,1.115063957579724,1.0766384264865478,1.1344201741030375
8,head_motion,-0.061374672821589815,0.008056333248196212,1.089857209812511,1.0284825369909212,1.0979135430607072
8,swallowing,-0.03834442426631979,-0.006473121003286231,1.121700663071174,1.0833562388048543,1.1152275420678879
8,tongue,-0.04983933444147004,0.0002986700531539821,1.1079204407605259,1.0580811063190558,1.1082191108136799
9,head_motion,0.0,0.0,,,
9,chewing,0.0,0.0,,,
9,tongue,0.0,0.0,,,
9,swallowing,0.0,0.0,,,
9,facial_emg,0.0,0.0,,,
10,head_motion,0.0,0.0,,,
10,chewing,0.0,0.0,,,
10,tongue,0.0,0.0,,,
10,swallowing,0.0,0.0,,,
10,facial_emg,0.0,0.0,,,
11,head_motion,0.0,0.0,,,
11,chewing,0.0,0.0,,,
11,tongue,0.0,0.0,,,
11,swallowing,0.0,0.0,,,
11,facial_emg,0.0,0.0,,,
13,chewing,0.05419735698138983,0.07964284238809882,1.0723976098439272,1.126594966825317,1.152040452232026
