fold,view,beta,nested_loss,selected
1,primary,0.0,5.849662406577004,0
1,primary,0.25,5.15962893433041,0
1,primary,0.5,4.9298862798346414,1
1,primary,0.75,5.154657555951013,0
1,primary,1.0,5.778681266638968,0
1,prestim,0.0,1.1775127351284027,0
1,prestim,0.25,1.1631303479274113,1
1,prestim,0.5,1.2190869053204856,0
1,prestim,0.75,1.3364453961451845,0
1,prestim,1.0,1.5008641829093297,0
1,hf_art,0.0,1.251545821626981,0
1,hf_art,0.25,1.2470196137825649,1
1,hf_art,0.5,1.3266286452611287,0
1,hf_art,0.75,1.4763818664683237,0
1,hf_art,1.0,1.6774820999966729,0
1,label_shuffle,0.0,1.1359233806530633,0
1,label_shuffle,0.25,1.1342249164978662,1
1,label_shuffle,0.5,1.2032559315363567,0
1,label_shuffle,0.75,1.332074032889472,0
1,label_shuffle,1.0,1.5052267147435083,0
1,time_shuffle,0.0,1.3748819563123915,0
1,time_shuffle,0.25,1.3592753426896202,1
1,time_shuffle,0.5,1.429267331957817,0
1,time_shuffle,0.75,1.5724910663233864,0
1,time_shuffle,1.0,1.7721667554643419,0
1,wrong_condition,0.0,5.849662406577004,0
1,wrong_condition,0.25,5.15962893433041,0
1,wrong_condition,0.5,4.9298862798346414,1
1,wrong_condition,0.75,5.154657555951013,0
1,wrong_condition,1.0,5.778681266638968,0
1,gain_normalized,0.0,9.44478831357426,0
1,gain_normalized,0.25,8.322704495655167,0
1,gain_normalized,0.5,7.948387596342299,1
1,gain_normalized,0.75,8.305378718508615,0
1,gain_normalized,1.0,9.291993995507559,0
