fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
2,3,primary,WRONG_DONOR,8,0.5,8.767462213834127,23.581207275390625,1.1895662546157837,1.5316131114959717
2,3,primary,WRONG_DONOR,13,0.5,11.620155731836954,31.028507232666016,2.0154194831848145,1.8165404796600342
2,3,primary,POP,,0.5,10.747732877731323,29.195032119750977,1.5706164836883545,1.4775500297546387
2,3,primary,MATCH,,0.5,7.2417774597803755,19.270702362060547,1.2589983940124512,1.1956316232681274
2,3,primary,WRONG_MEAN,,0.5,10.19380897283554,27.30485725402832,1.602492868900299,1.674076795578003
2,8,primary,WRONG_DONOR,3,0.5,8.000687996546427,20.854450225830078,1.6131863594055176,1.5344274044036865
2,8,primary,WRONG_DONOR,13,0.5,10.403608679771423,27.352943420410156,2.1006646156311035,1.7572180032730103
2,8,primary,POP,,0.5,9.83617893854777,26.15103530883789,1.8949378728866577,1.4625636339187622
2,8,primary,MATCH,,0.5,6.9992371797561646,18.143293380737305,1.7061257362365723,1.1482924222946167
2,8,primary,WRONG_MEAN,,0.5,9.202148338158924,24.103696823120117,1.8569254875183105,1.6458227038383484
2,13,primary,WRONG_DONOR,3,0.5,8.705791592597961,22.967201232910156,1.3952319622039795,1.7549415826797485
2,13,primary,WRONG_DONOR,8,0.5,8.503036419550577,22.792142868041992,1.1205376386642456,1.5964287519454956
2,13,primary,POP,,0.5,6.661339978377025,17.668413162231445,0.9123302102088928,1.4032765626907349
2,13,primary,MATCH,,0.5,8.00191350777944,21.71787452697754,1.2824305295944214,1.0054354667663574
2,13,primary,WRONG_MEAN,,0.5,8.604414006074268,22.879672050476074,1.2578848004341125,1.675685167312622
2,3,prestim,WRONG_DONOR,8,0.25,1.1337349613507588,1.3118925094604492,0.8636078238487244,1.225704550743103
2,3,prestim,WRONG_DONOR,13,0.25,1.1624364256858826,1.3442668914794922,0.9675299525260925,1.175512433052063
2,3,prestim,POP,,0.25,1.1021277507146199,1.2966132164001465,0.8497225046157837,1.1600475311279297
2,3,prestim,MATCH,,0.25,1.0608510375022888,1.2256158590316772,0.7782161831855774,1.1787210702896118
2,3,prestim,WRONG_MEAN,,0.25,1.1480856935183206,1.3280797004699707,0.9155688881874084,1.200608491897583
2,8,prestim,WRONG_DONOR,3,0.25,1.4063417116800945,1.5355173349380493,0.9799447059631348,1.7035630941390991
2,8,prestim,WRONG_DONOR,13,0.25,1.4578744570414226,1.5646222829818726,1.0878208875656128,1.7211802005767822
2,8,prestim,POP,,0.25,1.3809290726979573,1.5147634744644165,0.9538934230804443,1.6741303205490112
2,8,prestim,MATCH,,0.25,1.4257853428522747,1.5294809341430664,0.9874416589736938,1.7604334354400635
