participant,session,available_seconds,candidate_windows,low_eog_windows,selected_windows,eligible,threshold
1,01T,215.556,60,18,18,1,14.867395063976815
1,02T,15.592,7,,0,0,
1,03T,212.396,60,18,18,1,12.582801637085446
2,01T,224.996,60,18,18,1,6.497189422965776
2,02T,215.556,60,18,18,1,7.3739047448207975
2,03T,212.396,60,18,18,1,8.068898822183614
3,01T,206.396,60,18,18,1,10.411719626024604
3,02T,215.556,60,18,18,1,9.40299196383965
3,03T,212.396,60,18,18,1,13.616209921691766
4,01T,243.268,60,18,18,1,18.9638969091233
4,02T,215.556,60,18,18,1,9.60553611644791
4,03T,212.396,60,18,18,1,17.623501622289332
5,01T,215.556,60,18,18,1,7.268306421822299
5,02T,215.556,60,18,18,1,7.876925624932518
5,03T,212.396,60,18,18,1,7.765086600831967
6,01T,215.556,60,18,18,1,9.899569114161308
6,02T,215.556,60,18,18,1,7.053700239761577
6,03T,212.396,60,18,18,1,10.038275066257963
7,01T,215.556,60,18,18,1,9.318495599923876
7,02T,243.268,60,18,18,1,8.250990773090393
7,03T,212.396,60,18,18,1,13.7212306028642
8,01T,215.556,60,18,18,1,13.641623569464059
8,02T,215.556,60,18,18,1,8.708716312115216
8,03T,212.396,60,18,18,1,12.030470165777949
9,01T,215.556,60,18,18,1,9.547049884036083
9,02T,215.556,60,18,18,1,8.8838105430611
9,03T,212.396,60,18,18,1,15.322925440795126
