fold_id,recording_key,candidate,gamma,w,support_validation_rrmse,personalization_eligible,fallback_reason
study01_layout_01_heldout_00,study01/study01_p01,D10,1.0,0.5,0.6688058376312256,,
study01_layout_01_heldout_00,study01/study01_p01,D01,1.0,0.8,0.6942847371101379,,
study01_layout_01_heldout_00,study01/study01_p01,D11,1.0,0.55,0.6636463403701782,,
study01_layout_01_heldout_00,study01/study01_p02,D10,0.8500000000000001,1.0,0.3782764673233032,,
study01_layout_01_heldout_00,study01/study01_p02,D01,0.9,0.75,0.4150809049606323,,
study01_layout_01_heldout_00,study01/study01_p02,D11,1.0,1.0,0.3585449159145355,,
study01_layout_01_heldout_00,study01/study01_p03,D10,1.0,0.75,1.5295100212097168,,
study01_layout_01_heldout_00,study01/study01_p03,D01,1.0,1.0,1.5247204303741455,,
study01_layout_01_heldout_00,study01/study01_p03,D11,1.0,1.0,1.3804750442504883,,
study01_layout_01_heldout_01,study01/study01_p04,D10,0.9500000000000001,0.0,0.5067529678344727,,
study01_layout_01_heldout_01,study01/study01_p04,D01,0.9,1.0,0.4964289367198944,,
study01_layout_01_heldout_01,study01/study01_p04,D11,1.0,0.25,0.503160834312439,,
study01_layout_01_heldout_01,study01/study01_p05,D10,0.75,0.0,0.32454538345336914,,
study01_layout_01_heldout_01,study01/study01_p05,D01,0.75,0.0,0.32454538345336914,,
study01_layout_01_heldout_01,study01/study01_p05,D11,0.75,0.05,0.32444483041763306,,
study02_layout_02_heldout_03,study02/study02_p11,D10,0.35000000000000003,0.0,0.33934468030929565,,
study02_layout_02_heldout_03,study02/study02_p11,D01,0.55,1.0,0.32897183299064636,,
study02_layout_02_heldout_03,study02/study02_p11,D11,0.55,0.7000000000000001,0.33174994587898254,,
study02_layout_02_heldout_03,study02/study02_p12,D10,1.0,1.0,0.932157576084137,,
study02_layout_02_heldout_03,study02/study02_p12,D01,1.0,1.0,0.7665854692459106,,
study02_layout_02_heldout_03,study02/study02_p12,D11,1.0,0.9500000000000001,0.7321184277534485,,
study03_layout_03_heldout_00,study03/study03_p03,D10,0.8,0.0,0.40551531314849854,,
study03_layout_03_heldout_00,study03/study03_p03,D01,0.9500000000000001,1.0,0.3682631552219391,,
study03_layout_03_heldout_00,study03/study03_p03,D11,0.9500000000000001,0.8,0.37423720955848694,,
study03_layout_03_heldout_00,study03/study03_p19,D10,1.0,0.1,0.45722129940986633,,
study03_layout_03_heldout_00,study03/study03_p19,D01,1.0,0.8500000000000001,0.4425390660762787,,
study03_layout_03_heldout_00,study03/study03_p19,D11,1.0,0.30000000000000004,0.45260128378868103,,
study04_layout_04_heldout_01,study04/study04_p28,D10,0.6000000000000001,0.0,0.30484330654144287,,
study04_layout_04_heldout_01,study04/study04_p28,D01,1.0,1.0,0.2788516879081726,,
study04_layout_04_heldout_01,study04/study04_p28,D11,0.8,0.5,0.30097365379333496,,
study04_layout_04_heldout_01,study04/study04_p29,D10,1.0,1.0,3.415670156478882,,
study04_layout_04_heldout_01,study04/study04_p29,D01,1.0,1.0,3.4724392890930176,,
study04_layout_04_heldout_01,study04/study04_p29,D11,1.0,1.0,3.3698296546936035,,
study05_layout_05_heldout_00,study05/study05_p06,D10,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p06,D01,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p06,D11,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p10,D10,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p10,D01,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p10,D11,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p24,D10,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p24,D01,1.0,0.0,,0,support_pair_coverage_insufficient
study05_layout_05_heldout_00,study05/study05_p24,D11,1.0,0.0,,0,support_pair_coverage_insufficient
