artifact_sample_fraction,clean_waveform_metric,condition_erp_observation_relative_preservation,condition_erp_proxy_status,dataset,eog_coherence_output,eog_coherence_raw,eog_coherence_reduction,exact_cell,fallback_used,gamma,heldout_eog_prediction_remaining_ratio,matching_projector_attenuation_db,method,method_id,nonartifact_observation_preservation,observation_change_ratio,operator_source,outputs_frozen_before_scoring,population_projector_attenuation_db,reference_free_covariance_distortion,reference_free_psd_distortion,rest_sample_fraction,selected_alpha,status,study,training_seed,unit_id,uses_query_external_eog
0.373125,N/A_no_clean_target,1.0,success_observation_relative_four_condition_ERP,sgeyesub,0.38018185628556955,0.38018185628556955,0.0,study01|layout_01|200,False,,nan,0.0,RAW,RAW,1.0,0.0,wide_v2_canonical_carrier,True,0.0,0.0,0.0,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2791753239296837,success_observation_relative_four_condition_ERP,sgeyesub,0.29526595205417316,0.38018185628556955,0.08491590423139639,study01|layout_01|200,False,,nan,3.9002661475681095,POP,POP,0.7342188749266819,0.8624085632134018,wide_v2_canonical_carrier,True,2.667701770657007,0.2554251410727666,0.4690758348796779,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.7752789565814338,success_observation_relative_four_condition_ERP,sgeyesub,0.39471255891610607,0.38018185628556955,-0.014530702630536518,study01|layout_01|200,False,,nan,0.07041044908188057,R1_full_C_residual|DET-MATCH|deployment,R1_full_C_residual|DET-MATCH|deployment,0.663743048555057,1.194237837885215,wide_v2_canonical_carrier,True,-0.3541056700476541,0.2985514930163009,0.809668969549978,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2791753239296837,success_observation_relative_four_condition_ERP,sgeyesub,0.29526595205417316,0.38018185628556955,0.08491590423139639,study01|layout_01|200,False,,nan,3.9002661475681095,R1_full_C_residual|DET-POP,R1_full_C_residual|DET-POP,0.7342188749266819,0.8624085632134018,wide_v2_canonical_carrier,True,2.667701770657007,0.2554251410727666,0.4690758348796779,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2791753239296837,success_observation_relative_four_condition_ERP,sgeyesub,0.29526595205417316,0.38018185628556955,0.08491590423139639,study01|layout_01|200,False,,nan,3.9002661475681095,R1_full_C_residual|DIFF-POP,R1_full_C_residual|DIFF-POP,0.7342188749266819,0.8624085632134018,wide_v2_canonical_carrier,True,2.667701770657007,0.2554251410727666,0.4690758348796779,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2791753239296837,success_observation_relative_four_condition_ERP,sgeyesub,0.29526595205417316,0.38018185628556955,0.08491590423139639,study01|layout_01|200,False,,nan,3.9002661475681095,R1_full_C_residual|NO-SUPPORT,R1_full_C_residual|NO-SUPPORT,0.7342188749266819,0.8624085632134018,wide_v2_canonical_carrier,True,2.667701770657007,0.2554251410727666,0.4690758348796779,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,0.36041233803515815,success_observation_relative_four_condition_ERP,sgeyesub,0.23287114936803,0.38018185628556955,0.14731070691753956,study01|layout_01|200,False,,nan,4.033043623726241,R1_full_C_residual|RHO-ONLY-POP-BASIS,R1_full_C_residual|RHO-ONLY-POP-BASIS,0.867109437463341,0.4312042816067009,wide_v2_canonical_carrier,True,3.948188156939869,0.14821393972935273,0.2682033913602348,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.39443425026519763,success_observation_relative_four_condition_ERP,sgeyesub,0.28845298672486785,0.38018185628556955,0.0917288695607017,study01|layout_01|200,False,,nan,2.025737470188175,R1_full_C_residual|CONSTANT-RHO-0.5,R1_full_C_residual|CONSTANT-RHO-0.5,0.5176540819129176,0.9864277602881333,wide_v2_canonical_carrier,True,1.372187111232333,0.26430310248931427,0.5576000690643593,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.39443425026519763,success_observation_relative_four_condition_ERP,sgeyesub,0.28845298672486785,0.38018185628556955,0.0917288695607017,study01|layout_01|200,False,,nan,2.025737470188175,R1_full_C_residual|DIFF-MATCH-K8|deployment,R1_full_C_residual|DIFF-MATCH-K8|deployment,0.5176540819129176,0.9864277602881333,wide_v2_canonical_carrier,True,1.372187111232333,0.26430310248931427,0.5576000690643593,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.4679423776359801,success_observation_relative_four_condition_ERP,sgeyesub,0.255364705468598,0.38018185628556955,0.12481715081697153,study01|layout_01|200,False,,nan,-0.3064785832188003,R1_full_C_residual|DIFF-MATCH-K1|deployment,R1_full_C_residual|DIFF-MATCH-K1|deployment,-0.03551503801243716,1.2503623624549511,wide_v2_canonical_carrier,True,0.024457363464782472,1.3137195912478306,0.8354230369879782,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
