clean_waveform_RRMSE,condition_erp_observation_relative_preservation,conditioning,dataset,eog_coherence_reduction,method,nonartifact_observation_preservation,reference_free_covariance_distortion,route
1.294807464711462,,structured,klados,,RAW,,,R2_FIR_residual
0.39900319673979917,,structured,klados,,POP,,,R2_FIR_residual
0.39900319673979917,,structured,klados,,R2_FIR_residual|DET-POP,,,R2_FIR_residual
6.9105329592476386,,structured,klados,,R2_FIR_residual|DET-MATCH|deployment,,,R2_FIR_residual
0.39900319673979917,,structured,klados,,R2_FIR_residual|DIFF-POP,,,R2_FIR_residual
0.39900319673979917,,structured,klados,,R2_FIR_residual|NO-SUPPORT,,,R2_FIR_residual
0.6641016722566205,,structured,klados,,R2_FIR_residual|RHO-ONLY-POP-BASIS,,,R2_FIR_residual
5.501146726756702,,structured,klados,,R2_FIR_residual|CONSTANT-RHO-0.5,,,R2_FIR_residual
5.981026624251577,,structured,klados,,R2_FIR_residual|DIFF-MATCH-K1|deployment,,,R2_FIR_residual
5.816282961660168,,structured,klados,,R2_FIR_residual|DIFF-MATCH-K8|deployment,,,R2_FIR_residual
6.117074582848942,,structured,klados,,R2_FIR_residual|DIFF-WRONG-1|deployment,,,R2_FIR_residual
6.86556431705021,,structured,klados,,R2_FIR_residual|DIFF-WRONG-2|deployment,,,R2_FIR_residual
7.08750054896731,,structured,klados,,R2_FIR_residual|DIFF-WRONG-3|deployment,,,R2_FIR_residual
,1.0,structured,sgeyesub,0.0,RAW,1.0,0.0,R2_FIR_residual
,0.18924291569352866,structured,sgeyesub,0.3230789184308902,POP,0.7762036516016407,0.09380896803346392,R2_FIR_residual
,0.18924291569352866,structured,sgeyesub,0.3230789184308902,R2_FIR_residual|DET-POP,0.7762036516016407,0.09380896803346392,R2_FIR_residual
,-0.020140887628031696,structured,sgeyesub,0.23445547745186318,R2_FIR_residual|DET-MATCH|deployment,0.6973846545866451,0.18468384757451883,R2_FIR_residual
,0.18924291569352866,structured,sgeyesub,0.3230789184308902,R2_FIR_residual|DIFF-POP,0.7762036516016407,0.09380896803346392,R2_FIR_residual
,0.18924291569352866,structured,sgeyesub,0.3230789184308902,R2_FIR_residual|NO-SUPPORT,0.7762036516016407,0.09380896803346392,R2_FIR_residual
,0.5567660038088386,structured,sgeyesub,0.18111617895332158,R2_FIR_residual|RHO-ONLY-POP-BASIS,0.8636197849522008,0.0624270822203687,R2_FIR_residual
,0.06744101659955029,structured,sgeyesub,0.25898822803036475,R2_FIR_residual|CONSTANT-RHO-0.5,0.7188360287261109,0.11891830067595434,R2_FIR_residual
,0.012974862758487566,structured,sgeyesub,0.24969036154938465,R2_FIR_residual|DIFF-MATCH-K1|deployment,0.6182857593178972,0.3694824292914996,R2_FIR_residual
,0.02673417024237501,structured,sgeyesub,0.24527432641344968,R2_FIR_residual|DIFF-MATCH-K8|deployment,0.6882502522323289,0.1886438936966605,R2_FIR_residual
,0.07336044016784803,structured,sgeyesub,0.2536487015256812,R2_FIR_residual|DIFF-WRONG-1|deployment,0.7205625129544121,0.12086531144369,R2_FIR_residual
,0.06996081785265612,structured,sgeyesub,0.23962380885328188,R2_FIR_residual|DIFF-WRONG-2|deployment,0.7071012157003433,0.1632796136347557,R2_FIR_residual
,0.10155680815280069,structured,sgeyesub,0.2619656151013043,R2_FIR_residual|DIFF-WRONG-3|deployment,0.7159973303832556,0.13405529934001809,R2_FIR_residual
1.294807464711462,,support_FiLM,klados,,RAW,,,R2_FIR_residual
0.3989931064907594,,support_FiLM,klados,,POP,,,R2_FIR_residual
0.3989931064907594,,support_FiLM,klados,,R2_FIR_residual|support_FiLM|DET-POP,,,R2_FIR_residual
6.910356531054643,,support_FiLM,klados,,R2_FIR_residual|support_FiLM|DET-MATCH|deployment,,,R2_FIR_residual
0.3989931064907594,,support_FiLM,klados,,R2_FIR_residual|support_FiLM|DIFF-POP,,,R2_FIR_residual
