panel,rho_label,rho_mean,top1_accuracy,top3_accuracy,same_different_auroc,within_distance,between_distance,participants
klados,0.00,0.0,0.018518518518518514,0.05555555555555554,0.5,0.0,0.0,54
klados,0.25,0.25,0.5370370370370371,0.6296296296296297,0.835533297098636,0.1626037226289079,0.26657720073980645,54
klados,0.50,0.5,0.7592592592592593,0.9074074074074074,0.9415197867329244,0.3252074452578158,0.7546118163818487,54
klados,0.75,0.75,0.9074074074074074,0.9444444444444444,0.9747651215156455,0.48781116788672374,1.4790848253281887,54
klados,EB,0.3765797234053711,0.4074074074074074,0.44444444444444436,0.7437301032688873,0.16570140409404424,11.187239565118379,54
klados,1.00,1.0,0.9259259259259259,1.0,0.9877966715842328,0.6504148905156316,2.4605566276462594,54
bci2b,0.00,0.0,0.1111111111111111,0.3333333333333333,0.5,0.0,0.0,9
bci2b,0.25,0.25,0.2222222222222222,0.6666666666666666,0.7685185185185185,0.22956481644060467,0.3970934075159684,9
bci2b,0.50,0.5,0.3333333333333333,0.6666666666666666,0.8194444444444444,0.45912963288120934,0.8721311602467237,9
bci2b,0.75,0.75,0.4444444444444444,0.7777777777777778,0.8657407407407408,0.6886944493218139,1.4694224934631455,9
bci2b,EB,0.42973449375688283,0.5555555555555556,0.7777777777777778,0.7978395061728395,0.27136182300637735,30.39304587803817,9
bci2b,1.00,1.0,0.5555555555555556,0.7777777777777778,0.8950617283950617,0.9182592657624187,2.2121959375195037,9
