source/target,s1,s2,s3,s4,s5,s6,s7,s8,s9
s1,51.06,30.14,38.30,31.91,20.57,29.43,28.72,26.24,26.60
s2,18.09,29.79,24.82,28.01,21.28,22.34,27.66,26.24,26.60
s3,27.66,24.82,52.84,25.53,25.18,25.53,26.60,28.37,40.43
s4,26.60,25.18,24.47,27.30,27.66,25.89,27.66,20.57,24.47
s5,29.08,26.60,33.33,24.47,32.27,25.18,24.82,23.76,25.89
s6,25.53,23.05,30.50,26.60,29.08,31.21,26.95,27.30,23.05
s7,41.84,26.95,25.53,27.30,24.11,28.72,32.62,25.89,24.82
s8,26.60,25.18,34.04,21.99,24.47,25.89,29.08,42.91,32.27
s9,31.56,26.60,24.11,26.24,23.40,25.53,25.89,26.24,41.49
Mean,30.89,26.48,31.99,26.60,25.33,26.64,27.78,27.50,29.51
