fold,seconds,participant,role,session,task,effective_seconds,tau2,within,within_threshold,lambda,hard_gate,lambda_row_min,lambda_row_mean,lambda_row_max
1,120,sub-02,train,ses-02,ERP,120,0.004084853374946545,0.00039316694990155875,0.26926952040491425,0.9765029099316899,0,0.7546242633954338,0.9405708319983301,0.9944560655552039
1,120,sub-02,train,ses-02,SSVEP,120,0.005212055074004772,0.0013449757072017238,0.26926952040491425,0.939396934672837,0,0.6492918510161622,0.9081758374639911,0.9805779553494476
1,120,sub-02,train,ses-03,ERP,120,0.08057521320147701,0.004599302480489764,0.26926952040491425,0.9859305588996728,0,0.5455880461842222,0.9234763560753064,0.9994944189746986
1,120,sub-02,train,ses-03,SSVEP,120,2.5524211188414005,88.19909134927744,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-02,train,ses-04,ERP,120,0.020830818360958566,0.01158766961550319,0.26926952040491425,0.8779100782060644,0,0.6753957793947765,0.8665361758906225,0.99128822347248
1,120,sub-02,train,ses-04,SSVEP,120,1.6398133486433444,0.06726443456837294,0.26926952040491425,0.9898492034123019,0,0.41000071437892366,0.7116194959457585,0.999814465103742
1,120,sub-03,train,ses-02,ERP,120,0.004084853374946545,0.00019042862236030712,0.26926952040491425,0.9884797071288918,0,0.8960685658979965,0.9782820459953817,0.9996795788992474
1,120,sub-03,train,ses-02,SSVEP,120,0.005212055074004772,0.00022991796079637218,0.26926952040491425,0.9890921125008737,0,0.8203913248121886,0.9761115096477537,0.9995595985303218
1,120,sub-03,train,ses-03,ERP,120,0.08057521320147701,0.001193585991808422,0.26926952040491425,0.9963103353608043,0,0.6805839725973067,0.9729640383195929,0.9999575460271795
1,120,sub-03,train,ses-03,SSVEP,120,2.5524211188414005,0.002399067683979063,0.26926952040491425,0.9997650755916884,0,0.9721487475127564,0.9951872090908299,0.9999971907604853
1,120,sub-03,train,ses-04,ERP,120,0.020830818360958566,0.003475049247211702,0.26926952040491425,0.9599640967766052,0,0.5660308114111113,0.9576254135318194,0.9978243487385803
1,120,sub-03,train,ses-04,SSVEP,120,1.6398133486433444,0.003786870965449994,0.26926952040491425,0.9994230004979043,0,0.6778857384961067,0.9770728706019424,0.9999912922092941
1,120,sub-05,train,ses-02,ERP,120,0.004084853374946545,0.00018018024784815048,0.26926952040491425,0.9890929371145127,0,0.8625741854980431,0.9679762056150364,0.9989782713426141
1,120,sub-05,train,ses-02,SSVEP,120,0.005212055074004772,0.0002046324472823595,0.26926952040491425,0.9902800608650307,0,0.9159456736750963,0.9837844326537962,0.999108023236493
1,120,sub-05,train,ses-03,ERP,120,0.08057521320147701,0.001185241735305695,0.26926952040491425,0.996336034978608,0,0.786347830267848,0.9744571123587601,0.9999438085941714
1,120,sub-05,train,ses-03,SSVEP,120,2.5524211188414005,0.0035475334628017967,0.26926952040491425,0.9996526531993266,0,0.9280966709473004,0.9936212956959859,0.9999973591312844
1,120,sub-05,train,ses-04,ERP,120,0.020830818360958566,0.004367337353136245,0.26926952040491425,0.9501960664494867,0,0.7039855156164638,0.9455164119322288,0.9979782989959263
