clean_rrmse,fold,lambda_a,lambda_y,low_eog_observation_retention,method,panel,remaining_ratio,seed
1.3210113640664833,1,1,0.5,,CALIB_ENERGY_DET_MATCH,paired,,20260828
1.3284393212670693,1,1,0.5,,CALIB_ENERGY_DET_WRONG,paired,,20260828
1.3137055271575566,1,1,0.5,,POP_ENERGY_DET,paired,,20260828
1.3252654149885832,1,1,0.5,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260828
1.3312384983000811,1,1,0.5,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260828
1.3213359213380802,1,1,0.5,,POP_ENERGY_SDEDIT,paired,,20260828
,1,1,0.5,0.8638237705102559,CALIB_ENERGY_DET_MATCH,natural,0.9317179700980583,20260828
,1,1,0.5,0.8676445991574534,CALIB_ENERGY_DET_WRONG,natural,0.9638660068934163,20260828
,1,1,0.5,0.8631167622758463,POP_ENERGY_DET,natural,0.9527470751975974,20260828
,1,1,0.5,0.8637440149153311,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9414432595173517,20260828
,1,1,0.5,0.8651196497133545,CALIB_ENERGY_SDEDIT_WRONG,natural,0.963057371477286,20260828
,1,1,0.5,0.8671486934569353,POP_ENERGY_SDEDIT,natural,0.9638019825021426,20260828
1.3277809679669492,1,1,2,,CALIB_ENERGY_DET_MATCH,paired,,20260828
1.332545020496885,1,1,2,,CALIB_ENERGY_DET_WRONG,paired,,20260828
1.3217642275115697,1,1,2,,POP_ENERGY_DET,paired,,20260828
1.3312525710765233,1,1,2,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260828
1.334879594842884,1,1,2,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260828
1.3282796511703054,1,1,2,,POP_ENERGY_SDEDIT,paired,,20260828
,1,1,2,0.9038802154924875,CALIB_ENERGY_DET_MATCH,natural,0.9445795391996702,20260828
,1,1,2,0.9058655900383504,CALIB_ENERGY_DET_WRONG,natural,0.9773914522180954,20260828
,1,1,2,0.9023988740130638,POP_ENERGY_DET,natural,0.973853982364138,20260828
,1,1,2,0.9038674495204759,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9528153104086717,20260828
,1,1,2,0.9042684122468927,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9766587434957424,20260828
,1,1,2,0.9051265223097289,POP_ENERGY_SDEDIT,natural,0.9825631665686766,20260828
1.3414540252530667,1,1,8,,CALIB_ENERGY_DET_MATCH,paired,,20260828
1.3424589299568954,1,1,8,,CALIB_ENERGY_DET_WRONG,paired,,20260828
1.3369377548388002,1,1,8,,POP_ENERGY_DET,paired,,20260828
1.3438587096704093,1,1,8,,CALIB_ENERGY_SDEDIT_MATCH,paired,,20260828
1.3441384535605418,1,1,8,,CALIB_ENERGY_SDEDIT_WRONG,paired,,20260828
1.3413418447374472,1,1,8,,POP_ENERGY_SDEDIT,paired,,20260828
,1,1,8,0.9437611278535769,CALIB_ENERGY_DET_MATCH,natural,0.9824778319646915,20260828
,1,1,8,0.943921063984817,CALIB_ENERGY_DET_WRONG,natural,1.0127042798946302,20260828
,1,1,8,0.9416890232350852,POP_ENERGY_DET,natural,1.0198540166020393,20260828
,1,1,8,0.9437679142914325,CALIB_ENERGY_SDEDIT_MATCH,natural,0.988552941630284,20260828
,1,1,8,0.9432337396344034,CALIB_ENERGY_SDEDIT_WRONG,natural,1.0120349594702323,20260828
,1,1,8,0.9430873915904764,POP_ENERGY_SDEDIT,natural,1.0243877588460844,20260828
