fold,participant,sample,session,support_actual_task,support_starts,task,wrong_actual_task,wrong_owner,wrong_support_starts
0,sub-02,0,ses-03,SSVEP,170;10488;10629;5166;8404;8732;6450;806;2274;5619;6241;3312;4077;4499;720;3551,SSVEP,SSVEP,sub-14,3256;8959;4762;5091;1529;8538;2760;1866;11793;7815;95;4875;5071;9432;5336;6485
0,sub-02,1,ses-04,SSVEP,5761;7089;2690;3208;7832;64;7906;3889;7473;9980;4673;750;3730;10169;2198;7872,SSVEP,SSVEP,sub-17,2940;11445;8715;7793;540;2635;10874;8851;694;10492;10078;2744;1170;21;1367;8912
0,sub-02,2,ses-04,SSVEP,11005;1106;7836;2417;6781;7871;5821;10408;2136;2399;10655;1188;4541;2645;4437;11629,SSVEP,SSVEP,sub-21,9937;798;4244;5586;5771;3669;5546;9459;6198;11304;10270;11086;7392;9517;8070;5655
0,sub-05,3,ses-03,SSVEP,2038;3984;11786;5866;9604;3601;7536;5807;6798;5059;1498;11348;664;792;7925;4169,SSVEP,SSVEP,sub-17,4877;4445;2585;3329;8139;6245;10333;10435;2865;6235;5225;5144;7218;10746;11644;4439
0,sub-05,4,ses-02,SSVEP,9297;9595;10620;9682;1507;7626;2877;3654;2387;8680;2643;7606;6813;1964;11450;2618,SSVEP,SSVEP,sub-11,63;9872;5157;9772;1157;8624;6016;7097;2465;1211;2849;467;3904;6537;5355;1418
0,sub-03,5,ses-04,ERP,8700;651;9759;7796;9506;4870;572;11654;8636;6168;4005;7426;8854;5249;7457;5234,ERP,ERP,sub-02,8759;11153;1611;8758;10860;5957;11237;8319;4159;4281;9939;4818;9969;2649;7318;1934
0,sub-05,6,ses-02,SSVEP,11110;1451;6810;2987;800;4330;779;10719;3737;9084;7076;11760;11358;7364;1083;8086,SSVEP,SSVEP,sub-23,4093;9465;4634;1560;5084;1654;10298;1550;3392;11633;7314;8777;3157;11734;10624;4371
0,sub-02,7,ses-02,ERP,7344;6305;9615;7290;4674;1905;1888;5334;5541;1117;11046;9284;7796;3941;3071;5789,ERP,ERP,sub-24,11043;2615;6577;2741;671;11655;359;2680;9789;8709;160;267;10444;5526;9288;7304
0,sub-05,8,ses-03,ERP,9762;4310;4441;9935;1846;6416;988;10693;4527;11549;4652;9985;992;11034;5752;5896,ERP,ERP,sub-19,4839;5749;9693;11540;10929;134;10087;11323;1365;1051;5329;5127;8678;10593;9785;3912
0,sub-03,9,ses-04,ERP,4533;6286;11127;6822;7803;892;2116;10288;8196;6275;4185;2558;6065;8224;11450;10677,ERP,ERP,sub-12,2420;10319;6350;10751;2418;5192;4509;2000;8353;10507;3290;4963;4637;4075;751;5580
