absolute_or_contrast,bootstrap_high,bootstrap_low,mean,median,method,metric,panel,participants,positive,source,status
absolute,1.4581152576724599,0.4504669689291148,0.8267321447654266,0.432740450073551,EEGDFUS,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.645826107350747,0.45483371242798915,0.5385374871996681,0.4758717481357356,EEGDFUS,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.8964097709646794,0.8082004603643522,0.8580898870886476,0.8911081006129583,EEGDFUS,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-1.7224042552508259,-2.9655928272679013,-2.303784503314169,-2.291338122012376,EEGDFUS,snr_improvement,paired,15,0,V30_common_panel_220dcbaa,
absolute,1.9001927668432628,1.4803312213676674,1.6799788641355515,1.62632554769516,EEGDFUS,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.23706993173140492,0.15611628874596067,0.19714264983480528,0.19382426305674016,EEGDFUS,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.23765949730369598,0.1471056708426673,0.1916398353992947,0.18049746503432593,EEGDFUS,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,2.007430821851723,1.067934865200961,1.4147401812451856,1.0624253874023755,EEGDFUS,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.4515681789256787,0.43255987006638963,0.8166826920318676,0.45311873239309836,RAW,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5554033156444589,0.38674629452900267,0.46739964920173704,0.4339811666868627,RAW,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9078806510474532,0.8219543856403064,0.8702252717378237,0.8955437391996384,RAW,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,RAW,snr_improvement,paired,15,0,V30_common_panel_220dcbaa,
absolute,1.0,1.0,1.0,1.0,RAW,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,RAW,artifact_correlation,paired,15,0,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,RAW,identity_change,paired,14,0,V30_common_panel_220dcbaa,
absolute,2.1133971451926565,1.1771599985121026,1.524985256128841,1.1685795585314434,RAW,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.4515681789256787,0.43255987006638963,0.8166826920318676,0.45311873239309836,STANDARD,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5554033156444589,0.38674629452900267,0.46739964920173704,0.4339811666868627,STANDARD,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9078806510474532,0.8219543856403064,0.8702252717378237,0.8955437391996384,STANDARD,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,STANDARD,snr_improvement,paired,15,0,V30_common_panel_220dcbaa,
absolute,1.0,1.0,1.0,1.0,STANDARD,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,STANDARD,artifact_correlation,paired,15,0,V30_common_panel_220dcbaa,
absolute,0.0,0.0,0.0,0.0,STANDARD,identity_change,paired,14,0,V30_common_panel_220dcbaa,
absolute,2.1133971451926565,1.1771599985121026,1.524985256128841,1.1685795585314434,STANDARD,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3667877836065803,0.3867658409582401,0.7515770726067582,0.3783722441488256,V25_SET_CALIB_DET_MATCH,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6366078547323207,0.4447927912103047,0.5273470284969167,0.4675000620385011,V25_SET_CALIB_DET_MATCH,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9172430685303967,0.8319480029116729,0.8803370725191026,0.911923767791854,V25_SET_CALIB_DET_MATCH,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.6225168400584962,-2.12867513185044,-1.2880543668802953,-1.392752294793077,V25_SET_CALIB_DET_MATCH,snr_improvement,paired,15,3,V30_common_panel_220dcbaa,
absolute,1.7845012106687808,1.3340098351564924,1.5283840590567432,1.4412366588910421,V25_SET_CALIB_DET_MATCH,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.4300244420951342,0.3450220602225616,0.38723372125241434,0.3721813647458071,V25_SET_CALIB_DET_MATCH,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.22250597051780904,0.16067788692213414,0.19230079934414887,0.19630741203824678,V25_SET_CALIB_DET_MATCH,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9101660787093415,0.993513558315182,1.3290073738053994,0.9887272202306323,V25_SET_CALIB_DET_MATCH,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3796798167130973,0.39450907835901794,0.7618987714975245,0.3851786420370142,V25_SET_CALIB_DET_POP,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6395581592082183,0.4490212688316953,0.5307977549559265,0.4887264659628272,V25_SET_CALIB_DET_POP,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9152887491995675,0.8295609328414624,0.87819886318132,0.9110417829619514,V25_SET_CALIB_DET_POP,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.7155045292058573,-2.2688322145075164,-1.428423858287599,-1.442791845367262,V25_SET_CALIB_DET_POP,snr_improvement,paired,15,1,V30_common_panel_220dcbaa,
absolute,1.806211399214468,1.3370064355667262,1.5468268413843904,1.4450147838303538,V25_SET_CALIB_DET_POP,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.41445686019237016,0.33057946692551793,0.37217955834111544,0.3730600315320771,V25_SET_CALIB_DET_POP,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.22363699609118087,0.16162851572761103,0.19345065250933643,0.21383591865499815,V25_SET_CALIB_DET_POP,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9194903622678028,0.9988342232395101,1.3369196324988648,0.9974613247646226,V25_SET_CALIB_DET_POP,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3696934502993066,0.39009604481691323,0.7545004285915098,0.38244930809984606,V26_CALIB_SDEDIT_MATCH,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6408628137524376,0.44925028359207003,0.5318953269471725,0.4665254025409619,V26_CALIB_SDEDIT_MATCH,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9161954715941102,0.831306481131318,0.8794700127232958,0.9114046601785554,V26_CALIB_SDEDIT_MATCH,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.7422464104942258,-2.327625025428944,-1.437066871239416,-1.473854158397602,V26_CALIB_SDEDIT_MATCH,snr_improvement,paired,15,2,V30_common_panel_220dcbaa,
absolute,1.8487214525790086,1.3654545418836754,1.5725891293175127,1.4871642110925731,V26_CALIB_SDEDIT_MATCH,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.42232584439858595,0.33417513562154827,0.3782797519746021,0.3664684010048707,V26_CALIB_SDEDIT_MATCH,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.2335803305523263,0.16829613811676467,0.20186445028742867,0.20513901404208607,V26_CALIB_SDEDIT_MATCH,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9099071110812593,0.994279358530486,1.3295391634658529,0.9902108112970988,V26_CALIB_SDEDIT_MATCH,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3835223656778837,0.39958494881682177,0.7661975248742642,0.38908195826742387,V26_POP_SDEDIT,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6453146705402198,0.4562580219683824,0.5370684335801612,0.4911217160729898,V26_POP_SDEDIT,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9138019821734205,0.8286436289169447,0.8769984863422536,0.9092678270406194,V26_POP_SDEDIT,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.9056900746559375,-2.5147217992317623,-1.6408334960519635,-1.5679592450685573,V26_POP_SDEDIT,snr_improvement,paired,15,1,V30_common_panel_220dcbaa,
absolute,1.8925042870046085,1.3908830438444948,1.615093106022188,1.5072235783769026,V26_POP_SDEDIT,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.4060066248185117,0.3230608607547456,0.3641850987688047,0.3665777612477541,V26_POP_SDEDIT,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.231621974794608,0.16955429839990324,0.20153886280835617,0.22108560386631226,V26_POP_SDEDIT,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9204234641197102,0.9991096736187185,1.3374456259939405,1.0074304987986882,V26_POP_SDEDIT,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3657733251450415,0.3784037684303433,0.7461919675637207,0.3723586216284376,V27_ENERGY_DET_L05,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.6160075005382748,0.4233288254028109,0.5067682172439096,0.45006853424840504,V27_ENERGY_DET_L05,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9195206587135586,0.8334952159976173,0.8822798994059364,0.9144089644153913,V27_ENERGY_DET_L05,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.32364041635397467,-1.7112812348327955,-0.9309685292031061,-0.9231358273801479,V27_ENERGY_DET_L05,snr_improvement,paired,15,3,V30_common_panel_220dcbaa,
absolute,1.6444432575715309,1.2480544793800517,1.4175732193230564,1.3175722821192308,V27_ENERGY_DET_L05,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.43569193138331747,0.34589353676448803,0.3903674002210244,0.36920411760608357,V27_ENERGY_DET_L05,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.19657573887106353,0.13628778861998211,0.16655020339207516,0.16655568468074006,V27_ENERGY_DET_L05,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9285941206291317,1.0090106216114427,1.3458814681128222,0.9997967945204841,V27_ENERGY_DET_L05,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.371265129321341,0.37898072247590153,0.7486276682778864,0.3681240780408391,V27_ENERGY_DET_L2,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5949368423323527,0.40174410465813715,0.4859762815267055,0.43483132123947144,V27_ENERGY_DET_L2,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.9191006406962318,0.8328535217255424,0.881739356825818,0.9125257763597701,V27_ENERGY_DET_L2,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.09453590328255501,-1.2974147868981738,-0.6253272189099909,-0.4607744977781267,V27_ENERGY_DET_L2,snr_improvement,paired,15,3,V30_common_panel_220dcbaa,
absolute,1.4779619381828248,1.1574854665420966,1.295972262239245,1.2151747078135393,V27_ENERGY_DET_L2,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.4285941510769495,0.3374875598922592,0.3825701091275497,0.36114431843937683,V27_ENERGY_DET_L2,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.15898401546151567,0.1012637814680957,0.1295193942175025,0.12380234835048518,V27_ENERGY_DET_L2,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,1.9613097834283544,1.040915096399409,1.3783796887154935,1.0348764641417398,V27_ENERGY_DET_L2,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
absolute,1.3848767406971159,0.39000358864213114,0.7614156556903187,0.3904704645845211,V27_ENERGY_DET_L8,rrmse_temporal,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.5827254356967103,0.39274376682870316,0.47703145520709866,0.43204497100992334,V27_ENERGY_DET_L8,rrmse_spectral,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.916313969657101,0.8303289965892003,0.8788920667091453,0.9073575987584062,V27_ENERGY_DET_L8,correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,-0.0074664012129124656,-0.9930638282006568,-0.4456929976279677,-0.339755117893219,V27_ENERGY_DET_L8,snr_improvement,paired,15,4,V30_common_panel_220dcbaa,
absolute,1.3369403712041519,1.088474172735665,1.1970663587145731,1.1455367133021355,V27_ENERGY_DET_L8,artifact_rrmse,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.40325992374616737,0.31288430084733615,0.35754268056396665,0.33860899917433723,V27_ENERGY_DET_L8,artifact_correlation,paired,15,15,V30_common_panel_220dcbaa,
absolute,0.12057215118372352,0.06276011215646692,0.09048969533575313,0.0726089665097081,V27_ENERGY_DET_L8,identity_change,paired,14,14,V30_common_panel_220dcbaa,
absolute,2.005841945409775,1.0829021596549837,1.4217834441750137,1.0806931621498532,V27_ENERGY_DET_L8,clean_output_rms_ratio,paired,15,15,V30_common_panel_220dcbaa,
