successful_update,pair_indices,pair_keys
1,15;16;132;61;4;143;69;3,study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p26:target_t2_1200:source_t6_1200;study03/study03_p20:target_t6_400:source_t20_0;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p20:target_t10_1200:source_t0_400;study03/study03_p03:target_t3_1200:source_t21_400
2,50;14;46;47;44;94;26;75,study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p24:target_t8_1200:source_t2_400;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p20:target_t17_400:source_t4_1200
3,31;95;66;103;78;144;30;22,study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p24:target_t9_800:source_t2_800;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p24:target_t19_800:source_t6_800;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p03:target_t22_800:source_t8_400
4,111;85;122;136;40;33;104;55,study03/study03_p24:target_t22_800:source_t11_400;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p25:target_t14_400:source_t8_1200;study03/study03_p26:target_t5_1200:source_t7_1200;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p19:target_t19_1200:source_t12_800
5,42;115;84;17;9;23;124;77,study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p25:target_t6_800:source_t5_0;study03/study03_p21:target_t9_800:source_t18_800;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p25:target_t14_1200:source_t9_400;study03/study03_p21:target_t3_400:source_t15_800
6,102;126;56;76;52;62;100;41,study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p25:target_t18_400:source_t9_1200;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p21:target_t3_0:source_t15_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p24:target_t15_1200:source_t4_800;study03/study03_p19:target_t8_400:source_t7_0
7,121;5;88;90;48;57;37;11,study03/study03_p25:target_t14_0:source_t8_800;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p24:target_t5_0:source_t1_400;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p03:target_t9_1200:source_t1_400
8,120;80;92;113;63;93;131;18,study03/study03_p25:target_t7_1200:source_t8_400;study03/study03_p21:target_t6_0:source_t16_800;study03/study03_p24:target_t8_400:source_t1_1200;study03/study03_p25:target_t6_0:source_t1_800;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p24:target_t8_800:source_t2_0;study03/study03_p26:target_t2_800:source_t1_1200;study03/study03_p03:target_t18_800:source_t7_400
9,35;1;108;60;59;118;134;86,study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p24:target_t21_1200:source_t10_400;study03/study03_p20:target_t6_0:source_t19_1200;study03/study03_p20:target_t3_1200:source_t19_800;study03/study03_p25:target_t7_400:source_t5_1200;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p21:target_t17_0:source_t0_400
10,87;0;25;43;82;116;74;7,study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p03:target_t3_0:source_t20_800;study03/study03_p03:target_t24_400:source_t11_0;study03/study03_p19:target_t8_1200:source_t7_800;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p25:target_t6_1200:source_t5_400;study03/study03_p20:target_t17_0:source_t4_800;study03/study03_p03:target_t6_1200:source_t23_400
